Type	Frequency	bleu	chrf	macrof	microf	macrobleu	microbleu
djuricin	3	99.98624	0.999908	99.98495	99.99146	99.97819	99.98459	
dollars	3	99.98201	0.999912	99.98495	99.99146	99.97838	99.97857	
doctor	3	99.98416	0.999913	99.98495	99.99146	99.97894	99.98220	
divided	3	99.98624	0.999917	99.98495	99.99146	99.98387	99.98415	
dismantled	3	99.97986	0.999865	99.98495	99.99146	99.97906	99.97941	
displayed	3	99.98201	0.999884	99.98495	99.99146	99.97960	99.98088	
disease	3	99.98274	0.999905	99.98495	99.99146	99.97162	99.98016	
disarmament	3	99.98831	0.999886	99.98495	99.99146	99.98245	99.98739	
disappointed	3	99.97986	0.999852	99.98495	99.99146	99.98138	99.98160	
disabilities	3	99.97986	0.999847	99.98495	99.99146	99.98099	99.97852	
differences	3	99.98059	0.999856	99.98495	99.99146	99.97734	99.97950	
dennis	3	99.97986	0.999901	99.98495	99.99146	99.96552	99.97863	
designed	3	99.97986	0.999883	99.98495	99.99146	99.97676	99.98024	
delivered	3	99.97986	0.999874	99.98495	99.99146	99.98035	99.97941	
demonstrations	3	99.98416	0.999851	99.98495	99.99146	99.97977	99.98047	
delays	3	99.98201	0.999916	99.98495	99.99146	99.98070	99.97966	
defending	3	99.97986	0.999874	99.98495	99.99146	99.97644	99.97896	
daut	3	99.98416	0.999929	99.98495	99.99146	99.97216	99.98295	
dark	3	99.98132	0.999919	99.98495	99.99146	99.97494	99.98061	
daily	3	99.98059	0.999910	99.98495	99.99146	99.97487	99.97931	
cycling	3	99.97986	0.999902	99.98495	99.99146	99.97243	99.97940	
critically	3	99.98274	0.999875	99.98495	99.99146	99.98104	99.98068	
crowded	3	99.98274	0.999902	99.98495	99.99146	99.97908	99.98003	
criminal	3	99.97986	0.999888	99.98495	99.99146	99.97669	99.97866	
daughter	3	99.98201	0.999903	99.98495	99.99146	99.96998	99.97937	
costs	3	99.97986	0.999910	99.98495	99.99146	99.97060	99.97850	
cool	3	99.98132	0.999919	99.98495	99.99146	99.97314	99.97778	
conversations	3	99.97986	0.999838	99.98495	99.99146	99.97801	99.97908	
contract	3	99.97986	0.999883	99.98495	99.99146	99.97574	99.97959	
controversial	3	99.98416	0.999853	99.98495	99.99146	99.97626	99.98403	
continues	3	99.98201	0.999878	99.98495	99.99146	99.97510	99.98022	
consistently	3	99.97986	0.999847	99.98495	99.99146	99.97429	99.97955	
contact	3	99.97986	0.999897	99.98495	99.99146	99.97553	99.97929	
conservation	3	99.97986	0.999847	99.98495	99.99146	99.97549	99.97966	
conflicts	3	99.98201	0.999884	99.98495	99.99146	99.97348	99.97961	
conflict	3	99.98201	0.999893	99.98495	99.99146	99.97859	99.97961	
confirmation	3	99.98201	0.999857	99.98495	99.99146	99.98224	99.97908	
concordia	3	99.97986	0.999874	99.98495	99.99146	99.97691	99.97933	
concluded	3	99.97986	0.999874	99.98495	99.99146	99.97506	99.97831	
concerning	3	99.98059	0.999865	99.98495	99.99146	99.96648	99.97903	
concern	3	99.97986	0.999892	99.98495	99.99146	99.98026	99.97921	
competitions	3	99.97986	0.999853	99.98495	99.99146	99.97686	99.97943	
compared	3	99.98409	0.999898	99.98495	99.99146	99.98063	99.98435	
colorful	3	99.97986	0.999892	99.98495	99.99146	99.96725	99.97917	
color	3	99.98201	0.999920	99.98495	99.99146	99.97152	99.98054	
collided	3	99.98274	0.999893	99.98495	99.99146	99.98222	99.98334	
cold	3	99.98409	0.999934	99.98495	99.99146	99.97718	99.98253	
code	3	99.98201	0.999939	99.98495	99.99146	99.97836	99.98038	
coast	3	99.97986	0.999928	99.98495	99.99146	99.98248	99.97811	
clubs	3	99.97986	0.999915	99.98495	99.99146	99.97759	99.97881	
closing	3	99.98059	0.999892	99.98495	99.99146	99.97661	99.97931	
clip	3	99.98274	0.999929	99.98495	99.99146	99.98045	99.97993	
clearly	3	99.98624	0.999907	99.98495	99.99146	99.98007	99.98522	
cleared	3	99.97986	0.999892	99.98495	99.99146	99.97477	99.97869	
clarified	3	99.97986	0.999874	99.98495	99.99146	99.97750	99.97930	
citizen	3	99.98201	0.999892	99.98495	99.99146	99.97812	99.98150	
cities	3	99.98059	0.999901	99.98495	99.99146	99.97656	99.98051	
circumstances	3	99.98132	0.999838	99.98495	99.99146	99.97817	99.97905	
changes	3	99.98132	0.999892	99.98495	99.99146	99.97699	99.98011	
certain	3	99.98132	0.999893	99.98495	99.99146	99.97770	99.98017	
chancellery	3	99.98274	0.999866	99.98495	99.99146	99.98439	99.98173	
championships	3	99.98624	0.999853	99.98495	99.99146	99.97974	99.98570	
ceremony	3	99.98201	0.999883	99.98495	99.99146	99.97962	99.98101	
centre	3	99.98132	0.999913	99.98495	99.99146	99.97762	99.97973	
catholic	3	99.98201	0.999894	99.98495	99.99146	99.98107	99.98306	
career	3	99.97986	0.999915	99.98495	99.99146	99.97527	99.97792	
caps	3	99.97986	0.999919	99.98495	99.99146	99.97749	99.98102	
capital	3	99.98132	0.999892	99.98495	99.99146	99.98083	99.98027	
cannot	3	99.98201	0.999907	99.98495	99.99146	99.97399	99.98020	
candidates	3	99.97986	0.999865	99.98495	99.99146	99.97544	99.97869	
call	3	99.98059	0.999919	99.98495	99.99146	99.98234	99.97963	
büring	3	99.98201	0.999911	99.98495	99.99146	99.97721	99.98070	
bronze	3	99.97986	0.999911	99.98495	99.99146	99.97638	99.97888	
brand	3	99.98132	0.999910	99.98495	99.99146	99.97340	99.97935	
brett	3	99.98409	0.999925	99.98495	99.99146	99.97649	99.98409	
box	3	99.98201	0.999938	99.98495	99.99146	99.98157	99.97965	
bottom	3	99.98409	0.999916	99.98495	99.99146	99.98454	99.98352	
born	3	99.97986	0.999919	99.98495	99.99146	99.97572	99.97993	
border	3	99.97986	0.999901	99.98495	99.99146	99.97768	99.98275	
blood	3	99.98482	0.999930	99.98495	99.99146	99.97485	99.98300	
blessing	3	99.98201	0.999893	99.98495	99.99146	99.97795	99.97957	
blocked	3	99.97986	0.999897	99.98495	99.99146	99.97966	99.97912	
bitter	3	99.97986	0.999901	99.98495	99.99146	99.97595	99.97789	
book	3	99.97986	0.999919	99.98495	99.99146	99.97885	99.97913	
bicycle	3	99.97986	0.999907	99.98495	99.99146	99.97821	99.97935	
bernd	3	99.98059	0.999919	99.98495	99.99146	99.96415	99.97911	
berheide	3	99.97986	0.999888	99.98495	99.99146	99.97040	99.98051	
began	3	99.98274	0.999921	99.98495	99.99146	99.97529	99.97986	
bavaria	3	99.98409	0.999907	99.98495	99.99146	99.96957	99.98266	
ban	3	99.98201	0.999938	99.98495	99.99146	99.97752	99.98054	
bams	3	99.98416	0.999939	99.98495	99.99146	99.97961	99.98090	
bad	3	99.98059	0.999933	99.98495	99.99146	99.97481	99.97933	
aydogdu	3	99.98274	0.999908	99.98495	99.99146	99.97483	99.97973	
awarded	3	99.97986	0.999892	99.98495	99.99146	99.97982	99.98058	
authority	3	99.97986	0.999874	99.98495	99.99146	99.97171	99.97881	
average	3	99.97986	0.999897	99.98495	99.99146	99.98308	99.97873	
authorities	3	99.98132	0.999861	99.98495	99.99146	99.97637	99.97890	
austrian	3	99.97986	0.999883	99.98495	99.99146	99.97903	99.98032	
attacks	3	99.97986	0.999906	99.98495	99.99146	99.97663	99.97967	
asg	3	99.98624	0.999946	99.98495	99.99146	99.97789	99.98432	
attacking	3	99.97986	0.999874	99.98495	99.99146	99.98062	99.97957	
assumes	3	99.98632	0.999909	99.98495	99.99146	99.98331	99.98399	
arms	3	99.98409	0.999934	99.98495	99.99146	99.97863	99.98226	
apples	3	99.97986	0.999901	99.98495	99.99146	99.97830	99.97822	
architect	3	99.98274	0.999884	99.98495	99.99146	99.97786	99.98033	
applause	3	99.97986	0.999888	99.98495	99.99146	99.97564	99.98004	
aogo	3	99.98482	0.999939	99.98495	99.99146	99.98102	99.98396	
apart	3	99.98624	0.999935	99.98495	99.99146	99.98345	99.98481	
anyway	3	99.98839	0.999936	99.98495	99.99146	99.97781	99.98442	
anti	3	99.97986	0.999919	99.98495	99.99146	99.97798	99.98281	
annual	3	99.98059	0.999901	99.98495	99.99146	99.97994	99.98154	
annoyed	3	99.98274	0.999902	99.98495	99.99146	99.98379	99.98182	
alternative	3	99.98059	0.999856	99.98495	99.99146	99.97491	99.97893	
allow	3	99.97986	0.999910	99.98495	99.99146	99.97737	99.97952	
allbright	3	99.98409	0.999889	99.98495	99.99146	99.98197	99.98304	
allegations	3	99.97986	0.999856	99.98495	99.99146	99.96907	99.97904	
aircraft	3	99.97986	0.999883	99.98495	99.99146	99.97757	99.97829	
agenda	3	99.98201	0.999920	99.98495	99.99146	99.97905	99.97913	
advantage	3	99.97986	0.999879	99.98495	99.99146	99.97590	99.97852	
aigner	3	99.98201	0.999901	99.98495	99.99146	99.96781	99.98052	
addressed	3	99.98201	0.999884	99.98495	99.99146	99.98233	99.98026	
address	3	99.97986	0.999892	99.98495	99.99146	99.97201	99.97909	
affected	3	99.98201	0.999898	99.98495	99.99146	99.98209	99.98080	
actor	3	99.98059	0.999920	99.98495	99.99146	99.98044	99.97877	
actions	3	99.98624	0.999917	99.98495	99.99146	99.98105	99.98421	
achieved	3	99.97986	0.999897	99.98495	99.99146	99.97737	99.97935	
accompanied	3	99.97986	0.999856	99.98495	99.99146	99.96954	99.97899	
accordingly	3	99.98409	0.999873	99.98495	99.99146	99.97557	99.98222	
abtswind	3	99.98059	0.999883	99.98495	99.99146	99.98117	99.98015	
accidents	3	99.98416	0.999894	99.98495	99.99146	99.97936	99.98024	
89th	3	99.97986	0.999919	99.98495	99.99146	99.98052	99.98015	
aasee	3	99.98831	0.999940	99.98495	99.99146	99.98006	99.98720	
84	3	99.97986	0.999938	99.98495	99.99146	99.97729	99.97859	
800	3	99.98059	0.999928	99.98495	99.99146	99.97758	99.97915	
76	3	99.97986	0.999937	99.98495	99.99146	99.97812	99.98014	
86	3	99.97986	0.999937	99.98495	99.99146	99.97567	99.97630	
72	3	99.97986	0.999937	99.98495	99.99146	99.97881	99.97815	
65	3	99.97986	0.999937	99.98495	99.99146	99.97382	99.97612	
59th	3	99.97986	0.999919	99.98495	99.99146	99.97698	99.97994	
60th	3	99.98059	0.999919	99.98495	99.99146	99.98107	99.98108	
50th	3	99.98347	0.999919	99.98495	99.99146	99.98158	99.98526	
500	3	99.98132	0.999928	99.98495	99.99146	99.97469	99.97894	
52	3	99.98201	0.999947	99.98495	99.99146	99.97952	99.97996	
49	3	99.97986	0.999937	99.98495	99.99146	99.98099	99.97717	
47	3	99.98059	0.999943	99.98495	99.99146	99.97971	99.97873	
400	3	99.98482	0.999943	99.98495	99.99146	99.98274	99.98426	
3rd	3	99.97986	0.999928	99.98495	99.99146	99.98341	99.98348	
37	3	99.97986	0.999937	99.98495	99.99146	99.98230	99.97864	
23	3	99.97986	0.999937	99.98495	99.99146	99.98395	99.98061	
245.7	3	99.98274	0.999911	99.98495	99.99146	99.98104	99.98187	
1,500	3	99.97986	0.999910	99.98495	99.99146	99.97477	99.97922	
2024	3	99.98201	0.999929	99.98495	99.99146	99.97897	99.98016	
10,000	3	99.98624	0.999919	99.98495	99.99146	99.97709	99.98453	
150	3	99.98274	0.999928	99.98495	99.99146	99.98105	99.98199	
05	3	99.97986	0.999937	99.98495	99.99146	99.97858	99.97918	
...	3	99.99254	0.999973	99.98495	99.99146	99.98495	99.99146	
zymner	2	99.98657	0.999934	99.98495	99.99360	99.98116	99.98711	
zieler	2	99.98657	0.999934	99.98495	99.99360	99.96820	99.98551	
zero	2	99.98873	0.999956	99.98495	99.99360	99.98308	99.98665	
zdf	2	99.98657	0.999952	99.98495	99.99360	99.98082	99.98507	
yilmaz	2	99.98657	0.999934	99.98495	99.99360	99.97776	99.98582	
yesterday	2	99.99295	0.999941	99.98495	99.99360	99.98427	99.99128	
zeitung	2	99.98731	0.999934	99.98495	99.99360	99.97728	99.98510	
yann	2	99.98731	0.999946	99.98495	99.99360	99.97332	99.98609	
x	2	99.98657	0.999964	99.98495	99.99360	99.96273	99.98480	
wulff	2	99.98657	0.999940	99.98495	99.99360	99.98336	99.98564	
wrote	2	99.98873	0.999951	99.98495	99.99360	99.98262	99.98708	
wrongdoing	2	99.99295	0.999935	99.98495	99.99360	99.98104	99.99028	
worse	2	99.99295	0.999965	99.98495	99.99360	99.98443	99.99110	
worrying	2	99.98657	0.999922	99.98495	99.99360	99.98141	99.98509	
withdrawn	2	99.98657	0.999916	99.98495	99.99360	99.98263	99.98540	
witness	2	99.99080	0.999943	99.98495	99.99360	99.98423	99.98935	
withdrawal	2	99.98657	0.999910	99.98495	99.99360	99.98362	99.98556	
wish	2	99.98657	0.999946	99.98495	99.99360	99.98219	99.98441	
windspiel	2	99.98657	0.999916	99.98495	99.99360	99.98383	99.98739	
windows	2	99.98657	0.999928	99.98495	99.99360	99.98149	99.98543	
wild	2	99.98731	0.999946	99.98495	99.99360	99.98048	99.98655	
wiesel	2	99.98873	0.999935	99.98495	99.99360	99.97736	99.98706	
wieckowicz	2	99.98657	0.999910	99.98495	99.99360	99.97774	99.98567	
wiebke	2	99.98731	0.999934	99.98495	99.99360	99.97573	99.98523	
whole	2	99.98946	0.999955	99.98495	99.99360	99.97774	99.98716	
wherever	2	99.98731	0.999922	99.98495	99.99360	99.98194	99.98566	
westbuer	2	99.98873	0.999932	99.98495	99.99360	99.97985	99.98725	
western	2	99.98657	0.999933	99.98495	99.99360	99.98047	99.98691	
werdohl	2	99.99503	0.999958	99.98495	99.99360	99.98495	99.99360	
wenzel	2	99.99080	0.999949	99.98495	99.99360	99.98215	99.98929	
welt	2	99.98657	0.999946	99.98495	99.99360	99.98269	99.98650	
welcoming	2	99.98657	0.999916	99.98495	99.99360	99.98216	99.98493	
weilerswist	2	99.98873	0.999914	99.98495	99.99360	99.98117	99.98718	
weekly	2	99.98731	0.999934	99.98495	99.99360	99.98014	99.98657	
wasn	2	99.98873	0.999952	99.98495	99.99360	99.98164	99.98673	
weak	2	99.98657	0.999946	99.98495	99.99360	99.98390	99.98663	
walks	2	99.98657	0.999940	99.98495	99.99360	99.97842	99.98613	
walberla	2	99.98657	0.999922	99.98495	99.99360	99.97736	99.98547	
vows	2	99.98657	0.999946	99.98495	99.99360	99.97975	99.98860	
volkswagen	2	99.98873	0.999920	99.98495	99.99360	99.98209	99.98760	
voters	2	99.99080	0.999949	99.98495	99.99360	99.98196	99.98961	
visited	2	99.98873	0.999938	99.98495	99.99360	99.98171	99.98640	
vision	2	99.98657	0.999936	99.98495	99.99360	99.98275	99.98692	
violent	2	99.99080	0.999943	99.98495	99.99360	99.98156	99.99057	
viewed	2	99.98657	0.999934	99.98495	99.99360	99.98120	99.98496	
view	2	99.99088	0.999966	99.98495	99.99360	99.98472	99.98819	
videos	2	99.98873	0.999944	99.98495	99.99360	99.98039	99.98681	
veljkovic	2	99.98873	0.999926	99.98495	99.99360	99.97916	99.98660	
ve	2	99.98731	0.999964	99.98495	99.99360	99.98376	99.98607	
vc	2	99.98731	0.999958	99.98495	99.99360	99.97827	99.98571	
various	2	99.98731	0.999928	99.98495	99.99360	99.97675	99.98593	
vehicle	2	99.98873	0.999938	99.98495	99.99360	99.98283	99.98693	
vandalism	2	99.98731	0.999916	99.98495	99.99360	99.97785	99.98610	
values	2	99.98873	0.999944	99.98495	99.99360	99.98212	99.98572	
value	2	99.98873	0.999955	99.98495	99.99360	99.98202	99.98582	
valuable	2	99.98657	0.999922	99.98495	99.99360	99.98347	99.98555	
valued	2	99.98657	0.999934	99.98495	99.99360	99.98353	99.98548	
valerie	2	99.98657	0.999928	99.98495	99.99360	99.97459	99.98603	
usual	2	99.98657	0.999940	99.98495	99.99360	99.98074	99.98620	
using	2	99.98657	0.999940	99.98495	99.99360	99.97339	99.98478	
updated	2	99.98873	0.999938	99.98495	99.99360	99.97843	99.98701	
untied	2	99.98657	0.999934	99.98495	99.99360	99.97652	99.98586	
unthinkable	2	99.98657	0.999909	99.98495	99.99360	99.98258	99.98523	
unsuccessful	2	99.98657	0.999898	99.98495	99.99360	99.98019	99.98553	
university	2	99.98657	0.999910	99.98495	99.99360	99.98142	99.98596	
units	2	99.98873	0.999950	99.98495	99.99360	99.98140	99.98616	
unit	2	99.98657	0.999946	99.98495	99.99360	99.97527	99.98569	
unique	2	99.98731	0.999939	99.98495	99.99360	99.97828	99.98551	
unification	2	99.98657	0.999914	99.98495	99.99360	99.98378	99.98630	
uncomfortable	2	99.99153	0.999907	99.98495	99.99360	99.98405	99.98949	
unacceptable	2	99.98946	0.999909	99.98495	99.99360	99.98403	99.98727	
unanimously	2	99.98657	0.999904	99.98495	99.99360	99.97924	99.98588	
ulm	2	99.98657	0.999957	99.98495	99.99360	99.97585	99.98480	
typical	2	99.98657	0.999928	99.98495	99.99360	99.97356	99.98533	
turns	2	99.98946	0.999940	99.98495	99.99360	99.97800	99.98761	
tron	2	99.98657	0.999946	99.98495	99.99360	99.98194	99.98494	
trimmed	2	99.99295	0.999953	99.98495	99.99360	99.98491	99.99151	
turl	2	99.98873	0.999956	99.98495	99.99360	99.98036	99.98614	
tribute	2	99.98657	0.999938	99.98495	99.99360	99.97649	99.98547	
trend	2	99.98873	0.999950	99.98495	99.99360	99.98361	99.98788	
treatment	2	99.98873	0.999926	99.98495	99.99360	99.98030	99.98622	
treat	2	99.98657	0.999945	99.98495	99.99360	99.98021	99.98622	
treated	2	99.98657	0.999928	99.98495	99.99360	99.97769	99.98587	
trapped	2	99.98657	0.999933	99.98495	99.99360	99.98340	99.98684	
train	2	99.98657	0.999940	99.98495	99.99360	99.98105	99.98585	
tradition	2	99.98873	0.999926	99.98495	99.99360	99.98452	99.98604	
traditional	2	99.98873	0.999907	99.98495	99.99360	99.98330	99.98873	
trading	2	99.98657	0.999940	99.98495	99.99360	99.97384	99.98554	
tower	2	99.98657	0.999945	99.98495	99.99360	99.97413	99.98488	
tournament	2	99.98657	0.999910	99.98495	99.99360	99.97347	99.98496	
tottenham	2	99.98657	0.999916	99.98495	99.99360	99.97788	99.98368	
torró	2	99.98731	0.999940	99.98495	99.99360	99.97561	99.98554	
tough	2	99.98804	0.999942	99.98495	99.99360	99.98019	99.98602	
torchlight	2	99.99153	0.999925	99.98495	99.99360	99.98069	99.99012	
topics	2	99.98657	0.999939	99.98495	99.99360	99.97434	99.98543	
toilet	2	99.98657	0.999934	99.98495	99.99360	99.96744	99.98508	
tolerance	2	99.98657	0.999921	99.98495	99.99360	99.97888	99.98577	
titles	2	99.98731	0.999934	99.98495	99.99360	99.97820	99.98673	
togetherness	2	99.98657	0.999898	99.98495	99.99360	99.97296	99.98525	
tips	2	99.98657	0.999946	99.98495	99.99360	99.97817	99.98553	
tim	2	99.98731	0.999952	99.98495	99.99360	99.97194	99.98523	
tinnenbusch	2	99.98657	0.999905	99.98495	99.99360	99.98355	99.98595	
tight	2	99.98873	0.999940	99.98495	99.99360	99.98129	99.98779	
threshold	2	99.98657	0.999921	99.98495	99.99360	99.97697	99.98483	
thrown	2	99.98804	0.999935	99.98495	99.99360	99.98102	99.98554	
threat	2	99.99080	0.999949	99.98495	99.99360	99.98450	99.98933	
thin	2	99.98657	0.999946	99.98495	99.99360	99.97044	99.98537	
thigh	2	99.98873	0.999950	99.98495	99.99360	99.98104	99.98585	
thick	2	99.98657	0.999940	99.98495	99.99360	99.98264	99.98487	
thereafter	2	99.99153	0.999930	99.98495	99.99360	99.98169	99.98977	
thanksgiving	2	99.99153	0.999913	99.98495	99.99360	99.98449	99.99017	
thanking	2	99.98657	0.999931	99.98495	99.99360	99.98106	99.98615	
tgd	2	99.98657	0.999952	99.98495	99.99360	99.98145	99.98482	
tests	2	99.98657	0.999940	99.98495	99.99360	99.97908	99.98580	
terrible	2	99.98946	0.999926	99.98495	99.99360	99.98442	99.98865	
tent	2	99.98873	0.999956	99.98495	99.99360	99.98330	99.98744	
teachers	2	99.98657	0.999922	99.98495	99.99360	99.98110	99.98576	
tasked	2	99.98657	0.999943	99.98495	99.99360	99.97765	99.98583	
tender	2	99.98731	0.999934	99.98495	99.99360	99.98030	99.98765	
targets	2	99.98657	0.999929	99.98495	99.99360	99.97437	99.98507	
tables	2	99.98873	0.999944	99.98495	99.99360	99.98177	99.98598	
tactical	2	99.98657	0.999922	99.98495	99.99360	99.97697	99.98558	
tag	2	99.98731	0.999958	99.98495	99.99360	99.97369	99.98526	
symbolic	2	99.98657	0.999922	99.98495	99.99360	99.98140	99.98580	
switzerland	2	99.99080	0.999924	99.98495	99.99360	99.98063	99.98926	
sweden	2	99.98657	0.999934	99.98495	99.99360	99.98048	99.98637	
syria	2	99.98873	0.999950	99.98495	99.99360	99.98170	99.98641	
susanne	2	99.98804	0.999928	99.98495	99.99360	99.97576	99.98719	
surveys	2	99.98873	0.999929	99.98495	99.99360	99.97926	99.98707	
surface	2	99.98657	0.999928	99.98495	99.99360	99.98150	99.98646	
supply	2	99.98657	0.999934	99.98495	99.99360	99.97805	99.98510	
superiority	2	99.98873	0.999907	99.98495	99.99360	99.98002	99.98659	
sunshine	2	99.98873	0.999932	99.98495	99.99360	99.98184	99.98630	
suffered	2	99.98873	0.999923	99.98495	99.99360	99.97972	99.98699	
sued	2	99.98657	0.999946	99.98495	99.99360	99.98032	99.98532	
successfully	2	99.98873	0.999908	99.98495	99.99360	99.98266	99.98896	
successor	2	99.98873	0.999926	99.98495	99.99360	99.98224	99.98675	
succeed	2	99.98873	0.999943	99.98495	99.99360	99.98289	99.98647	
studio	2	99.98731	0.999940	99.98495	99.99360	99.97600	99.98531	
study	2	99.98873	0.999946	99.98495	99.99360	99.98387	99.98775	
studies	2	99.98731	0.999928	99.98495	99.99360	99.97955	99.98564	
students	2	99.98873	0.999932	99.98495	99.99360	99.98109	99.98597	
strip	2	99.99080	0.999955	99.98495	99.99360	99.98048	99.98930	
stretch	2	99.98873	0.999938	99.98495	99.99360	99.97873	99.98649	
strictly	2	99.99080	0.999937	99.98495	99.99360	99.98440	99.98938	
straße	2	99.98873	0.999945	99.98495	99.99360	99.97677	99.98607	
straßberg	2	99.98657	0.999916	99.98495	99.99360	99.97506	99.98576	
streets	2	99.98657	0.999929	99.98495	99.99360	99.98164	99.98456	
story	2	99.98657	0.999940	99.98495	99.99360	99.98223	99.98572	
storm	2	99.98657	0.999940	99.98495	99.99360	99.97910	99.98451	
sterling	2	99.98657	0.999922	99.98495	99.99360	99.97889	99.98615	
stereotypical	2	99.98657	0.999892	99.98495	99.99360	99.98420	99.98715	
stepped	2	99.98657	0.999928	99.98495	99.99360	99.97851	99.98521	
steel	2	99.98873	0.999950	99.98495	99.99360	99.97366	99.98610	
statements	2	99.99295	0.999935	99.98495	99.99360	99.98123	99.99032	
staying	2	99.98657	0.999928	99.98495	99.99360	99.98219	99.98560	
stay	2	99.98731	0.999955	99.98495	99.99360	99.98065	99.98665	
starz	2	99.98657	0.999940	99.98495	99.99360	99.97987	99.98536	
starts	2	99.98657	0.999934	99.98495	99.99360	99.97228	99.98436	
staircase	2	99.98657	0.999921	99.98495	99.99360	99.98327	99.98465	
stars	2	99.98657	0.999940	99.98495	99.99360	99.97958	99.98508	
stadium	2	99.99088	0.999948	99.98495	99.99360	99.98038	99.98703	
spread	2	99.98657	0.999944	99.98495	99.99360	99.98153	99.98501	
sponsors	2	99.98873	0.999932	99.98495	99.99360	99.98230	99.98652	
spokesman	2	99.98657	0.999916	99.98495	99.99360	99.98451	99.98555	
sporting	2	99.98657	0.999922	99.98495	99.99360	99.97326	99.98531	
spoken	2	99.98657	0.999934	99.98495	99.99360	99.98257	99.98583	
sport	2	99.98657	0.999950	99.98495	99.99360	99.97958	99.98609	
split	2	99.98657	0.999940	99.98495	99.99360	99.98197	99.98545	
spirit	2	99.98657	0.999934	99.98495	99.99360	99.97983	99.98447	
spend	2	99.98657	0.999940	99.98495	99.99360	99.98148	99.98622	
species	2	99.98657	0.999928	99.98495	99.99360	99.97864	99.98569	
specialties	2	99.98873	0.999914	99.98495	99.99360	99.97739	99.98615	
speakers	2	99.98657	0.999922	99.98495	99.99360	99.98083	99.98883	
speaker	2	99.98657	0.999928	99.98495	99.99360	99.98104	99.98603	
speak	2	99.98657	0.999940	99.98495	99.99360	99.98300	99.98558	
spaces	2	99.98657	0.999934	99.98495	99.99360	99.97786	99.98558	
space	2	99.98657	0.999945	99.98495	99.99360	99.98225	99.98541	
sosa	2	99.98873	0.999956	99.98495	99.99360	99.97683	99.98773	
songwriter	2	99.98731	0.999910	99.98495	99.99360	99.97672	99.98559	
sommer	2	99.98657	0.999934	99.98495	99.99360	99.97132	99.98512	
somebody	2	99.99088	0.999934	99.98495	99.99360	99.98440	99.99128	
söllner	2	99.98873	0.999945	99.98495	99.99360	99.97747	99.98638	
sofuoglu	2	99.98873	0.999932	99.98495	99.99360	99.97575	99.98629	
smell	2	99.98657	0.999940	99.98495	99.99360	99.98232	99.98568	
smart	2	99.98946	0.999945	99.98495	99.99360	99.97841	99.98741	
s.oliver	2	99.98731	0.999922	99.98495	99.99360	99.97982	99.98581	
slight	2	99.98873	0.999937	99.98495	99.99360	99.98284	99.98701	
slalom	2	99.98731	0.999934	99.98495	99.99360	99.97811	99.98753	
skopje	2	99.99080	0.999949	99.98495	99.99360	99.98354	99.98981	
skilled	2	99.98657	0.999937	99.98495	99.99360	99.97881	99.98567	
sixth	2	99.98657	0.999940	99.98495	99.99360	99.98416	99.98561	
sits	2	99.98657	0.999946	99.98495	99.99360	99.98247	99.98505	
singapore	2	99.98657	0.999916	99.98495	99.99360	99.98035	99.98636	
sing	2	99.98731	0.999946	99.98495	99.99360	99.97907	99.98564	
sinan	2	99.98657	0.999940	99.98495	99.99360	99.97581	99.98400	
silge	2	99.98657	0.999945	99.98495	99.99360	99.97861	99.98556	
significantly	2	99.98657	0.999893	99.98495	99.99360	99.98096	99.98616	
showing	2	99.98657	0.999928	99.98495	99.99360	99.98338	99.98552	
shut	2	99.98657	0.999946	99.98495	99.99360	99.98235	99.98619	
siegemund	2	99.99080	0.999931	99.98495	99.99360	99.98084	99.98953	
shoulders	2	99.98657	0.999921	99.98495	99.99360	99.98170	99.98530	
shots	2	99.98657	0.999940	99.98495	99.99360	99.98084	99.98561	
shocked	2	99.98873	0.999937	99.98495	99.99360	99.98126	99.98771	
ship	2	99.98731	0.999952	99.98495	99.99360	99.98242	99.98755	
shoe	2	99.98657	0.999951	99.98495	99.99360	99.97844	99.98516	
sheet	2	99.98657	0.999940	99.98495	99.99360	99.97823	99.98349	
shiny	2	99.98731	0.999940	99.98495	99.99360	99.97774	99.98549	
sharp	2	99.98657	0.999940	99.98495	99.99360	99.97984	99.98583	
shards	2	99.99080	0.999949	99.98495	99.99360	99.98354	99.98922	
shared	2	99.98657	0.999934	99.98495	99.99360	99.97834	99.98624	
shaqiri	2	99.99080	0.999943	99.98495	99.99360	99.97847	99.98974	
sexual	2	99.98731	0.999934	99.98495	99.99360	99.96958	99.98492	
sex	2	99.98657	0.999952	99.98495	99.99360	99.97978	99.98877	
settled	2	99.98657	0.999928	99.98495	99.99360	99.97883	99.98460	
settle	2	99.98657	0.999935	99.98495	99.99360	99.98282	99.98580	
served	2	99.98731	0.999934	99.98495	99.99360	99.97984	99.98595	
sergio	2	99.98657	0.999934	99.98495	99.99360	99.97793	99.98612	
separate	2	99.98657	0.999922	99.98495	99.99360	99.97919	99.98649	
sensitive	2	99.98731	0.999921	99.98495	99.99360	99.97959	99.98552	
separatist	2	99.99080	0.999925	99.98495	99.99360	99.98327	99.98977	
send	2	99.98657	0.999946	99.98495	99.99360	99.97871	99.98461	
sense	2	99.98657	0.999940	99.98495	99.99360	99.98307	99.98539	
senator	2	99.98657	0.999928	99.98495	99.99360	99.97042	99.98556	
selfie	2	99.98731	0.999939	99.98495	99.99360	99.97755	99.98596	
