Type	Frequency	bleu	macrof	microf	CHRF1	CHRF3
wüstenhagen	3	99.98353	99.96990	99.98933	0.999822	0.999786	
würzburg	3	99.98561	99.96990	99.98933	0.999857	0.999842	
wrong	3	99.97996	99.96990	99.98933	0.999855	0.999862	
written	3	99.97923	99.96990	99.98933	0.999837	0.999830	
works	3	99.97923	99.96990	99.98933	0.999855	0.999862	
workers	3	99.97923	99.96990	99.98933	0.999837	0.999830	
wishes	3	99.98138	99.96990	99.98933	0.999847	0.999847	
westhues	3	99.98346	99.96990	99.98933	0.999843	0.999829	
winning	3	99.97923	99.96990	99.98933	0.999837	0.999830	
welcomed	3	99.97923	99.96990	99.98933	0.999828	0.999814	
wednesday	3	99.98353	99.96990	99.98933	0.999842	0.999821	
website	3	99.98138	99.96990	99.98933	0.999847	0.999840	
weight	3	99.98353	99.96990	99.98933	0.999856	0.999856	
web	3	99.98353	99.96990	99.98933	0.999883	0.999905	
watford	3	99.98069	99.96990	99.98933	0.999843	0.999836	
watch	3	99.97996	99.96990	99.98933	0.999855	0.999862	
walter	3	99.98142	99.96990	99.98933	0.999846	0.999846	
voted	3	99.97923	99.96990	99.98933	0.999855	0.999862	
volker	3	99.97996	99.96990	99.98933	0.999846	0.999846	
wait	3	99.97923	99.96990	99.98933	0.999864	0.999879	
violence	3	99.98561	99.96990	99.98933	0.999854	0.999839	
victims	3	99.97923	99.96990	99.98933	0.999837	0.999830	
village	3	99.98138	99.96990	99.98933	0.999847	0.999840	
version	3	99.97923	99.96990	99.98933	0.999837	0.999830	
venue	3	99.97923	99.96990	99.98933	0.999855	0.999862	
valencia	3	99.97923	99.96990	99.98933	0.999828	0.999814	
unknown	3	99.97923	99.96990	99.98933	0.999837	0.999830	
usc	3	99.98138	99.96990	99.98933	0.999873	0.999895	
unfortunately	3	99.98561	99.96990	99.98933	0.999811	0.999761	
uphus	3	99.98138	99.96990	99.98933	0.999858	0.999866	
unbeatable	3	99.98138	99.96990	99.98933	0.999820	0.999792	
understand	3	99.97996	99.96990	99.98933	0.999811	0.999782	
turin	3	99.98138	99.96990	99.98933	0.999865	0.999873	
tuchel	3	99.98346	99.96990	99.98933	0.999861	0.999861	
twitter	3	99.97923	99.96990	99.98933	0.999837	0.999830	
turn	3	99.97923	99.96990	99.98933	0.999864	0.999879	
tsv	3	99.97996	99.96990	99.98933	0.999873	0.999895	
trying	3	99.97996	99.96990	99.98933	0.999849	0.999849	
trip	3	99.98211	99.96990	99.98933	0.999873	0.999888	
trendsport	3	99.98561	99.96990	99.98933	0.999828	0.999800	
trains	3	99.98353	99.96990	99.98933	0.999856	0.999856	
touch	3	99.97923	99.96990	99.98933	0.999855	0.999862	
tory	3	99.97996	99.96990	99.98933	0.999867	0.999882	
torn	3	99.98138	99.96990	99.98933	0.999874	0.999889	
tourism	3	99.97923	99.96990	99.98933	0.999837	0.999830	
throw	3	99.97923	99.96990	99.98933	0.999855	0.999862	
throughout	3	99.97923	99.96990	99.98933	0.999810	0.999781	
thanked	3	99.97923	99.96990	99.98933	0.999837	0.999830	
thousands	3	99.98138	99.96990	99.98933	0.999820	0.999799	
tennis	3	99.98346	99.96990	99.98933	0.999861	0.999861	
thank	3	99.98346	99.96990	99.98933	0.999870	0.999878	
taskforce	3	99.98138	99.96990	99.98933	0.999822	0.999801	
teacher	3	99.98138	99.96990	99.98933	0.999840	0.999833	
talked	3	99.97923	99.96990	99.98933	0.999846	0.999846	
symbols	3	99.98561	99.96990	99.98933	0.999866	0.999858	
swiss	3	99.97923	99.96990	99.98933	0.999855	0.999862	
switching	3	99.98211	99.96990	99.98933	0.999819	0.999798	
suspected	3	99.97923	99.96990	99.98933	0.999819	0.999798	
süverkrüp	3	99.98353	99.96990	99.98933	0.999823	0.999802	
suffering	3	99.97996	99.96990	99.98933	0.999819	0.999798	
substitution	3	99.98211	99.96990	99.98933	0.999802	0.999759	
supporting	3	99.97923	99.96990	99.98933	0.999810	0.999781	
suddenly	3	99.97996	99.96990	99.98933	0.999831	0.999817	
subject	3	99.98353	99.96990	99.98933	0.999858	0.999850	
sturridge	3	99.98211	99.96990	99.98933	0.999819	0.999798	
substitute	3	99.97923	99.96990	99.98933	0.999810	0.999781	
stuck	3	99.97923	99.96990	99.98933	0.999855	0.999862	
struggled	3	99.97996	99.96990	99.98933	0.999819	0.999798	
struck	3	99.97996	99.96990	99.98933	0.999846	0.999846	
stir	3	99.98138	99.96990	99.98933	0.999874	0.999889	
stressful	3	99.98069	99.96990	99.98933	0.999819	0.999798	
stefan	3	99.98346	99.96990	99.98933	0.999861	0.999861	
standing	3	99.97996	99.96990	99.98933	0.999828	0.999814	
stations	3	99.98353	99.96990	99.98933	0.999849	0.999834	
stages	3	99.97923	99.96990	99.98933	0.999846	0.999846	
speaks	3	99.97996	99.96990	99.98933	0.999846	0.999846	
speaking	3	99.98353	99.96990	99.98933	0.999828	0.999814	
solutions	3	99.98211	99.96990	99.98933	0.999836	0.999814	
stadler	3	99.97923	99.96990	99.98933	0.999837	0.999830	
solution	3	99.97996	99.96990	99.98933	0.999828	0.999814	
solid	3	99.97923	99.96990	99.98933	0.999855	0.999862	
snow	3	99.97923	99.96990	99.98933	0.999864	0.999879	
sky	3	99.98138	99.96990	99.98933	0.999886	0.999908	
ski	3	99.98346	99.96990	99.98933	0.999888	0.999910	
smoke	3	99.98427	99.96990	99.98933	0.999861	0.999869	
situations	3	99.98569	99.96990	99.98933	0.999841	0.999812	
sight	3	99.98138	99.96990	99.98933	0.999858	0.999866	
sides	3	99.97996	99.96990	99.98933	0.999855	0.999862	
shoot	3	99.97923	99.96990	99.98933	0.999855	0.999862	
sg	3	99.98138	99.96990	99.98933	0.999885	0.999914	
seventh	3	99.97996	99.96990	99.98933	0.999837	0.999830	
settlement	3	99.98211	99.96990	99.98933	0.999820	0.999792	
sendenhorst	3	99.98346	99.96990	99.98933	0.999816	0.999780	
separated	3	99.98138	99.96990	99.98933	0.999829	0.999808	
senior	3	99.98138	99.96990	99.98933	0.999849	0.999849	
senden	3	99.98346	99.96990	99.98933	0.999861	0.999861	
semi	3	99.97923	99.96990	99.98933	0.999864	0.999879	
sees	3	99.97923	99.96990	99.98933	0.999864	0.999879	
seibert	3	99.98346	99.96990	99.98933	0.999852	0.999845	
seemed	3	99.97923	99.96990	99.98933	0.999846	0.999846	
secret	3	99.97923	99.96990	99.98933	0.999846	0.999846	
securities	3	99.97996	99.96990	99.98933	0.999810	0.999781	
search	3	99.97996	99.96990	99.98933	0.999846	0.999846	
sebastian	3	99.97923	99.96990	99.98933	0.999819	0.999798	
sea	3	99.98346	99.96990	99.98933	0.999888	0.999910	
schroer	3	99.98346	99.96990	99.98933	0.999852	0.999845	
schwesig	3	99.98211	99.96990	99.98933	0.999838	0.999824	
saxony	3	99.98069	99.96990	99.98933	0.999858	0.999858	
schot	3	99.98346	99.96990	99.98933	0.999870	0.999878	
schleswig	3	99.97996	99.96990	99.98933	0.999819	0.999798	
saved	3	99.97996	99.96990	99.98933	0.999855	0.999862	
save	3	99.98284	99.96990	99.98933	0.999870	0.999885	
ryugu	3	99.98211	99.96990	99.98933	0.999868	0.999876	
safe	3	99.98138	99.96990	99.98933	0.999874	0.999889	
sad	3	99.97923	99.96990	99.98933	0.999873	0.999895	
ruler	3	99.97923	99.96990	99.98933	0.999855	0.999862	
russian	3	99.97923	99.96990	99.98933	0.999837	0.999830	
rubbish	3	99.97996	99.96990	99.98933	0.999837	0.999830	
rotation	3	99.97923	99.96990	99.98933	0.999828	0.999814	
roof	3	99.98138	99.96990	99.98933	0.999867	0.999882	
rohde	3	99.98353	99.96990	99.98933	0.999876	0.999883	
risk	3	99.97996	99.96990	99.98933	0.999864	0.999879	
reus	3	99.97996	99.96990	99.98933	0.999864	0.999879	
resulted	3	99.98427	99.96990	99.98933	0.999839	0.999825	
resigned	3	99.98419	99.96990	99.98933	0.999843	0.999829	
relations	3	99.97923	99.96990	99.98933	0.999819	0.999798	
release	3	99.98069	99.96990	99.98933	0.999837	0.999830	
relieve	3	99.97923	99.96990	99.98933	0.999837	0.999830	
regular	3	99.97923	99.96990	99.98933	0.999837	0.999830	
related	3	99.97996	99.96990	99.98933	0.999837	0.999830	
reinhard	3	99.97923	99.96990	99.98933	0.999828	0.999814	
registered	3	99.97923	99.96990	99.98933	0.999810	0.999781	
regarding	3	99.98346	99.96990	99.98933	0.999834	0.999813	
referred	3	99.97996	99.96990	99.98933	0.999828	0.999814	
radar	3	99.98211	99.96990	99.98933	0.999865	0.999873	
recording	3	99.98138	99.96990	99.98933	0.999822	0.999801	
reach	3	99.97923	99.96990	99.98933	0.999855	0.999862	
pub	3	99.98346	99.96990	99.98933	0.999888	0.999910	
pure	3	99.98069	99.96990	99.98933	0.999864	0.999879	
pupil	3	99.97923	99.96990	99.98933	0.999855	0.999862	
province	3	99.98138	99.96990	99.98933	0.999838	0.999824	
proud	3	99.97923	99.96990	99.98933	0.999855	0.999862	
production	3	99.98138	99.96990	99.98933	0.999810	0.999781	
produced	3	99.97923	99.96990	99.98933	0.999828	0.999814	
problems	3	99.97923	99.96990	99.98933	0.999828	0.999814	
procession	3	99.98138	99.96990	99.98933	0.999810	0.999781	
powder	3	99.98138	99.96990	99.98933	0.999846	0.999846	
prison	3	99.97996	99.96990	99.98933	0.999846	0.999846	
post	3	99.98353	99.96990	99.98933	0.999885	0.999899	
posted	3	99.97996	99.96990	99.98933	0.999846	0.999846	
possibly	3	99.97923	99.96990	99.98933	0.999831	0.999817	
poverty	3	99.97923	99.96990	99.98933	0.999840	0.999833	
pol	3	99.97923	99.96990	99.98933	0.999874	0.999896	
population	3	99.98138	99.96990	99.98933	0.999820	0.999792	
political	3	99.97923	99.96990	99.98933	0.999819	0.999798	
pmi	3	99.98138	99.96990	99.98933	0.999876	0.999898	
pliening	3	99.98353	99.96990	99.98933	0.999841	0.999827	
pleased	3	99.98138	99.96990	99.98933	0.999847	0.999840	
playful	3	99.97996	99.96990	99.98933	0.999841	0.999834	
plans	3	99.97923	99.96990	99.98933	0.999855	0.999862	
pieces	3	99.98138	99.96990	99.98933	0.999856	0.999856	
pianist	3	99.97923	99.96990	99.98933	0.999837	0.999830	
perspective	3	99.97923	99.96990	99.98933	0.999801	0.999765	
period	3	99.97923	99.96990	99.98933	0.999846	0.999846	
performances	3	99.98353	99.96990	99.98933	0.999813	0.999769	
peier	3	99.97923	99.96990	99.98933	0.999855	0.999862	
paulo	3	99.98138	99.96990	99.98933	0.999865	0.999873	
partners	3	99.97923	99.96990	99.98933	0.999828	0.999814	
participants	3	99.98138	99.96990	99.98933	0.999793	0.999750	
owners	3	99.98138	99.96990	99.98933	0.999856	0.999856	
participate	3	99.97923	99.96990	99.98933	0.999801	0.999765	
owner	3	99.98138	99.96990	99.98933	0.999858	0.999866	
ostbevern	3	99.98138	99.96990	99.98933	0.999819	0.999798	
parents	3	99.98138	99.96990	99.98933	0.999847	0.999840	
overtaken	3	99.97923	99.96990	99.98933	0.999819	0.999798	
oriented	3	99.97923	99.96990	99.98933	0.999828	0.999814	
organs	3	99.97923	99.96990	99.98933	0.999846	0.999846	
organizer	3	99.98346	99.96990	99.98933	0.999837	0.999816	
opposed	3	99.97923	99.96990	99.98933	0.999837	0.999830	
oldenburg	3	99.98346	99.96990	99.98933	0.999834	0.999813	
ok	3	99.98488	99.96990	99.98933	0.999906	0.999934	
officials	3	99.98138	99.96990	99.98933	0.999829	0.999808	
o	3	99.97923	99.96990	99.98933	0.999891	0.999927	
northern	3	99.98069	99.96990	99.98933	0.999828	0.999814	
nigeria	3	99.97923	99.96990	99.98933	0.999837	0.999830	
nine	3	99.98561	99.96990	99.98933	0.999879	0.999894	
niemerg	3	99.97923	99.96990	99.98933	0.999837	0.999830	
neighboring	3	99.98346	99.96990	99.98933	0.999816	0.999780	
needed	3	99.98211	99.96990	99.98933	0.999852	0.999852	
napoli	3	99.98353	99.96990	99.98933	0.999867	0.999867	
negotiations	3	99.97923	99.96990	99.98933	0.999792	0.999749	
myself	3	99.97923	99.96990	99.98933	0.999849	0.999849	
musician	3	99.98138	99.96990	99.98933	0.999838	0.999824	
musical	3	99.97996	99.96990	99.98933	0.999837	0.999830	
münster	3	99.97923	99.96990	99.98933	0.999837	0.999830	
münch	3	99.98419	99.96990	99.98933	0.999870	0.999878	
mountain	3	99.97996	99.96990	99.98933	0.999828	0.999814	
move	3	99.97923	99.96990	99.98933	0.999864	0.999879	
motor	3	99.97923	99.96990	99.98933	0.999855	0.999862	
mosquito	3	99.97923	99.96990	99.98933	0.999828	0.999814	
mother	3	99.98138	99.96990	99.98933	0.999846	0.999846	
moorland	3	99.98346	99.96990	99.98933	0.999843	0.999829	
months	3	99.98138	99.96990	99.98933	0.999856	0.999856	
mittelehrenbach	3	99.98569	99.96990	99.98933	0.999796	0.999731	
millions	3	99.97923	99.96990	99.98933	0.999828	0.999814	
military	3	99.98138	99.96990	99.98933	0.999841	0.999827	
mgv	3	99.97923	99.96990	99.98933	0.999873	0.999895	
missile	3	99.97923	99.96990	99.98933	0.999837	0.999830	
mid	3	99.97923	99.96990	99.98933	0.999873	0.999895	
mexican	3	99.98211	99.96990	99.98933	0.999846	0.999839	
metres	3	99.98138	99.96990	99.98933	0.999856	0.999856	
meat	3	99.98138	99.96990	99.98933	0.999874	0.999889	
martin	3	99.98138	99.96990	99.98933	0.999856	0.999856	
metal	3	99.97996	99.96990	99.98933	0.999855	0.999862	
marquee	3	99.97923	99.96990	99.98933	0.999837	0.999830	
male	3	99.97923	99.96990	99.98933	0.999864	0.999879	
magnitude	3	99.97996	99.96990	99.98933	0.999820	0.999799	
luca	3	99.98138	99.96990	99.98933	0.999864	0.999879	
lifted	3	99.97923	99.96990	99.98933	0.999846	0.999846	
located	3	99.97996	99.96990	99.98933	0.999837	0.999830	
loss	3	99.98346	99.96990	99.98933	0.999879	0.999894	
lewandowski	3	99.98138	99.96990	99.98933	0.999811	0.999775	
leaders	3	99.98211	99.96990	99.98933	0.999840	0.999833	
lengerich	3	99.98138	99.96990	99.98933	0.999825	0.999804	
launched	3	99.97923	99.96990	99.98933	0.999828	0.999814	
lawyer	3	99.98138	99.96990	99.98933	0.999859	0.999859	
latter	3	99.98353	99.96990	99.98933	0.999852	0.999852	
latest	3	99.97923	99.96990	99.98933	0.999846	0.999846	
lars	3	99.98211	99.96990	99.98933	0.999864	0.999879	
kulturbahnhof	3	99.98569	99.96990	99.98933	0.999807	0.999756	
lahm	3	99.97923	99.96990	99.98933	0.999864	0.999879	
kreimer	3	99.98353	99.96990	99.98933	0.999847	0.999840	
klimow	3	99.97923	99.96990	99.98933	0.999846	0.999846	
kovac	3	99.97996	99.96990	99.98933	0.999855	0.999862	
kindergarten	3	99.97996	99.96990	99.98933	0.999792	0.999749	
kitchen	3	99.98138	99.96990	99.98933	0.999847	0.999840	
kerber	3	99.98768	99.96990	99.98933	0.999877	0.999877	
kanye	3	99.98346	99.96990	99.98933	0.999873	0.999881	
jan	3	99.97923	99.96990	99.98933	0.999873	0.999895	
juventus	3	99.97996	99.96990	99.98933	0.999828	0.999814	
juve	3	99.98138	99.96990	99.98933	0.999874	0.999889	
juice	3	99.98138	99.96990	99.98933	0.999865	0.999873	
jong	3	99.98069	99.96990	99.98933	0.999870	0.999885	
jury	3	99.98427	99.96990	99.98933	0.999873	0.999888	
julian	3	99.98353	99.96990	99.98933	0.999846	0.999846	
jair	3	99.98069	99.96990	99.98933	0.999864	0.999879	
issues	3	99.97996	99.96990	99.98933	0.999846	0.999846	
iom	3	99.98211	99.96990	99.98933	0.999882	0.999904	
institute	3	99.97923	99.96990	99.98933	0.999819	0.999798	
inviting	3	99.97923	99.96990	99.98933	0.999828	0.999814	
installed	3	99.97923	99.96990	99.98933	0.999819	0.999798	
injuries	3	99.98569	99.96990	99.98933	0.999849	0.999834	
initial	3	99.98069	99.96990	99.98933	0.999837	0.999830	
informed	3	99.98211	99.96990	99.98933	0.999831	0.999817	
indonesian	3	99.97923	99.96990	99.98933	0.999810	0.999781	
ilona	3	99.98211	99.96990	99.98933	0.999865	0.999873	
imprisoned	3	99.98138	99.96990	99.98933	0.999820	0.999792	
iller	3	99.97923	99.96990	99.98933	0.999855	0.999862	
immigration	3	99.98069	99.96990	99.98933	0.999803	0.999767	
illness	3	99.97923	99.96990	99.98933	0.999837	0.999830	
importance	3	99.97923	99.96990	99.98933	0.999810	0.999781	
ii	3	99.98138	99.96990	99.98933	0.999892	0.999921	
ignored	3	99.97996	99.96990	99.98933	0.999840	0.999833	
ihmig	3	99.98138	99.96990	99.98933	0.999856	0.999863	
idea	3	99.98353	99.96990	99.98933	0.999867	0.999882	
hut	3	99.98138	99.96990	99.98933	0.999883	0.999905	
holstein	3	99.98138	99.96990	99.98933	0.999838	0.999824	
hugh	3	99.97996	99.96990	99.98933	0.999864	0.999879	
husband	3	99.98346	99.96990	99.98933	0.999852	0.999845	
humor	3	99.98353	99.96990	99.98933	0.999876	0.999883	
hundred	3	99.98069	99.96990	99.98933	0.999837	0.999830	
hof	3	99.97923	99.96990	99.98933	0.999873	0.999895	
hollywood	3	99.97923	99.96990	99.98933	0.999822	0.999800	
höhe	3	99.98138	99.96990	99.98933	0.999874	0.999889	
hoetmar	3	99.98419	99.96990	99.98933	0.999859	0.999851	
hinzenbach	3	99.98561	99.96990	99.98933	0.999839	0.999810	
hill	3	99.98138	99.96990	99.98933	0.999874	0.999889	
highway	3	99.97996	99.96990	99.98933	0.999843	0.999836	
herself	3	99.97996	99.96990	99.98933	0.999837	0.999830	
helpers	3	99.98138	99.96990	99.98933	0.999847	0.999840	
health	3	99.98138	99.96990	99.98933	0.999846	0.999846	
haller	3	99.97923	99.96990	99.98933	0.999846	0.999846	
hartmann	3	99.98138	99.96990	99.98933	0.999828	0.999814	
halftime	3	99.98569	99.96990	99.98933	0.999834	0.999820	
haddad	3	99.98138	99.96990	99.98933	0.999856	0.999856	
handball	3	99.98768	99.96990	99.98933	0.999859	0.999844	
hartinger	3	99.97923	99.96990	99.98933	0.999819	0.999798	
götze	3	99.98346	99.96990	99.98933	0.999873	0.999881	
gülen	3	99.97996	99.96990	99.98933	0.999855	0.999862	
grüß	3	99.98138	99.96990	99.98933	0.999864	0.999879	
guest	3	99.97996	99.96990	99.98933	0.999855	0.999862	
gregor	3	99.97923	99.96990	99.98933	0.999846	0.999846	
growth	3	99.97996	99.96990	99.98933	0.999846	0.999846	
global	3	99.98346	99.96990	99.98933	0.999861	0.999861	
gold	3	99.97996	99.96990	99.98933	0.999864	0.999879	
gift	3	99.98211	99.96990	99.98933	0.999874	0.999889	
gender	3	99.97923	99.96990	99.98933	0.999846	0.999846	
gauting	3	99.98138	99.96990	99.98933	0.999840	0.999833	
geske	3	99.98138	99.96990	99.98933	0.999865	0.999873	
geisingen	3	99.98419	99.96990	99.98933	0.999834	0.999813	
geiger	3	99.97923	99.96990	99.98933	0.999846	0.999846	
gardens	3	99.97996	99.96990	99.98933	0.999837	0.999830	
friendly	3	99.97923	99.96990	99.98933	0.999831	0.999817	
franz	3	99.97923	99.96990	99.98933	0.999873	0.999880	
frequently	3	99.98346	99.96990	99.98933	0.999828	0.999799	
friedenskirche	3	99.97923	99.96990	99.98933	0.999774	0.999716	
fortunately	3	99.98768	99.96990	99.98933	0.999835	0.999799	
forever	3	99.98427	99.96990	99.98933	0.999864	0.999857	
fled	3	99.97923	99.96990	99.98933	0.999864	0.999879	
follows	3	99.97923	99.96990	99.98933	0.999837	0.999830	
flawless	3	99.97923	99.96990	99.98933	0.999828	0.999814	
finished	3	99.97923	99.96990	99.98933	0.999828	0.999814	
fetsch	3	99.98346	99.96990	99.98933	0.999861	0.999861	
fischbachau	3	99.98984	99.96990	99.98933	0.999838	0.999802	
flames	3	99.98353	99.96990	99.98933	0.999867	0.999867	
favorite	3	99.97923	99.96990	99.98933	0.999828	0.999814	
favorites	3	99.97923	99.96990	99.98933	0.999819	0.999798	
festivals	3	99.98138	99.96990	99.98933	0.999829	0.999808	
fatally	3	99.98346	99.96990	99.98933	0.999855	0.999848	
falling	3	99.97923	99.96990	99.98933	0.999837	0.999830	
false	3	99.97923	99.96990	99.98933	0.999855	0.999862	
farmers	3	99.97996	99.96990	99.98933	0.999837	0.999830	
eye	3	99.98211	99.96990	99.98933	0.999876	0.999898	
expert	3	99.97996	99.96990	99.98933	0.999851	0.999851	
exit	3	99.97923	99.96990	99.98933	0.999867	0.999882	
excluded	3	99.98353	99.96990	99.98933	0.999844	0.999830	
exclusion	3	99.98069	99.96990	99.98933	0.999823	0.999801	
excellent	3	99.97923	99.96990	99.98933	0.999823	0.999801	
eveking	3	99.98353	99.96990	99.98933	0.999858	0.999850	
euro	3	99.97923	99.96990	99.98933	0.999864	0.999879	
ernst	3	99.97923	99.96990	99.98933	0.999855	0.999862	
enjoyment	3	99.97996	99.96990	99.98933	0.999828	0.999807	
engagement	3	99.97923	99.96990	99.98933	0.999810	0.999781	
energy	3	99.97923	99.96990	99.98933	0.999849	0.999849	
encryptor	3	99.98353	99.96990	99.98933	0.999835	0.999814	
emotional	3	99.98138	99.96990	99.98933	0.999822	0.999801	
emphasizes	3	99.98569	99.96990	99.98933	0.999823	0.999794	
elevator	3	99.98138	99.96990	99.98933	0.999838	0.999824	
electronic	3	99.97923	99.96990	99.98933	0.999810	0.999781	
either	3	99.98138	99.96990	99.98933	0.999856	0.999856	
effective	3	99.98069	99.96990	99.98933	0.999819	0.999798	
eberl	3	99.97996	99.96990	99.98933	0.999855	0.999862	
easier	3	99.98138	99.96990	99.98933	0.999856	0.999856	
earned	3	99.97923	99.96990	99.98933	0.999846	0.999846	
dress	3	99.98069	99.96990	99.98933	0.999861	0.999869	
e	3	99.97923	99.96990	99.98933	0.999891	0.999927	
dortmund	3	99.98138	99.96990	99.98933	0.999838	0.999824	
doubt	3	99.97923	99.96990	99.98933	0.999855	0.999862	
doors	3	99.97923	99.96990	99.98933	0.999855	0.999862	
donau	3	99.98353	99.96990	99.98933	0.999858	0.999866	
done	3	99.98703	99.96990	99.98933	0.999900	0.999914	
dollars	3	99.98138	99.96990	99.98933	0.999847	0.999840	
doctor	3	99.98353	99.96990	99.98933	0.999849	0.999849	
djuricin	3	99.98561	99.96990	99.98933	0.999854	0.999839	
dismantled	3	99.97923	99.96990	99.98933	0.999810	0.999781	
divided	3	99.98561	99.96990	99.98933	0.999863	0.999855	
displayed	3	99.98138	99.96990	99.98933	0.999832	0.999811	
disease	3	99.98211	99.96990	99.98933	0.999840	0.999833	
disappointed	3	99.97923	99.96990	99.98933	0.999792	0.999749	
disarmament	3	99.98768	99.96990	99.98933	0.999832	0.999796	
disabilities	3	99.97923	99.96990	99.98933	0.999792	0.999749	
delays	3	99.98138	99.96990	99.98933	0.999859	0.999859	
designed	3	99.97923	99.96990	99.98933	0.999828	0.999814	
dennis	3	99.97923	99.96990	99.98933	0.999846	0.999846	
demonstrations	3	99.98353	99.96990	99.98933	0.999795	0.999737	
differences	3	99.97996	99.96990	99.98933	0.999801	0.999765	
delivered	3	99.97923	99.96990	99.98933	0.999819	0.999798	
defending	3	99.97923	99.96990	99.98933	0.999819	0.999798	
daut	3	99.98353	99.96990	99.98933	0.999874	0.999889	
daughter	3	99.98138	99.96990	99.98933	0.999838	0.999824	
dark	3	99.98069	99.96990	99.98933	0.999864	0.999879	
daily	3	99.97996	99.96990	99.98933	0.999858	0.999865	
cycling	3	99.97923	99.96990	99.98933	0.999840	0.999833	
crowded	3	99.98211	99.96990	99.98933	0.999847	0.999840	
critically	3	99.98211	99.96990	99.98933	0.999823	0.999794	
criminal	3	99.97923	99.96990	99.98933	0.999828	0.999814	
cool	3	99.98069	99.96990	99.98933	0.999864	0.999879	
costs	3	99.97923	99.96990	99.98933	0.999855	0.999862	
conversations	3	99.97923	99.96990	99.98933	0.999783	0.999733	
controversial	3	99.98353	99.96990	99.98933	0.999789	0.999739	
continues	3	99.98138	99.96990	99.98933	0.999819	0.999798	
contract	3	99.97923	99.96990	99.98933	0.999828	0.999814	
contact	3	99.97923	99.96990	99.98933	0.999837	0.999830	
consistently	3	99.97923	99.96990	99.98933	0.999795	0.999752	
conflict	3	99.98138	99.96990	99.98933	0.999838	0.999824	
conservation	3	99.97923	99.96990	99.98933	0.999792	0.999749	
conflicts	3	99.98138	99.96990	99.98933	0.999829	0.999808	
confirmation	3	99.98138	99.96990	99.98933	0.999802	0.999759	
concordia	3	99.97923	99.96990	99.98933	0.999822	0.999801	
concluded	3	99.97923	99.96990	99.98933	0.999819	0.999798	
concerning	3	99.97996	99.96990	99.98933	0.999810	0.999781	
competitions	3	99.97923	99.96990	99.98933	0.999792	0.999749	
concern	3	99.97923	99.96990	99.98933	0.999837	0.999830	
compared	3	99.98346	99.96990	99.98933	0.999843	0.999829	
colorful	3	99.97923	99.96990	99.98933	0.999828	0.999814	
collided	3	99.98211	99.96990	99.98933	0.999838	0.999824	
color	3	99.98138	99.96990	99.98933	0.999865	0.999873	
coast	3	99.97923	99.96990	99.98933	0.999855	0.999862	
cold	3	99.98346	99.96990	99.98933	0.999879	0.999894	
clubs	3	99.97923	99.96990	99.98933	0.999855	0.999862	
code	3	99.98138	99.96990	99.98933	0.999874	0.999889	
closing	3	99.97996	99.96990	99.98933	0.999837	0.999830	
clip	3	99.98211	99.96990	99.98933	0.999874	0.999889	
cleared	3	99.97923	99.96990	99.98933	0.999837	0.999830	
clarified	3	99.97923	99.96990	99.98933	0.999819	0.999798	
citizen	3	99.98138	99.96990	99.98933	0.999840	0.999833	
clearly	3	99.98561	99.96990	99.98933	0.999855	0.999848	
circumstances	3	99.98069	99.96990	99.98933	0.999783	0.999733	
cities	3	99.97996	99.96990	99.98933	0.999846	0.999846	
changes	3	99.98069	99.96990	99.98933	0.999837	0.999830	
chancellery	3	99.98211	99.96990	99.98933	0.999814	0.999778	
certain	3	99.98069	99.96990	99.98933	0.999838	0.999831	
ceremony	3	99.98138	99.96990	99.98933	0.999831	0.999817	
championships	3	99.98561	99.96990	99.98933	0.999798	0.999748	
centre	3	99.98069	99.96990	99.98933	0.999858	0.999858	
catholic	3	99.98138	99.96990	99.98933	0.999831	0.999817	
career	3	99.97923	99.96990	99.98933	0.999846	0.999846	
caps	3	99.97923	99.96990	99.98933	0.999864	0.999879	
capital	3	99.98069	99.96990	99.98933	0.999837	0.999830	
cannot	3	99.98138	99.96990	99.98933	0.999852	0.999852	
büring	3	99.98138	99.96990	99.98933	0.999856	0.999856	
bronze	3	99.97923	99.96990	99.98933	0.999849	0.999849	
candidates	3	99.97923	99.96990	99.98933	0.999810	0.999781	
brett	3	99.98346	99.96990	99.98933	0.999870	0.999878	
brand	3	99.98069	99.96990	99.98933	0.999855	0.999862	
call	3	99.97996	99.96990	99.98933	0.999864	0.999879	
bottom	3	99.98346	99.96990	99.98933	0.999861	0.999861	
born	3	99.97923	99.96990	99.98933	0.999864	0.999879	
box	3	99.98138	99.96990	99.98933	0.999886	0.999908	
blood	3	99.98419	99.96990	99.98933	0.999870	0.999878	
blocked	3	99.97923	99.96990	99.98933	0.999837	0.999830	
book	3	99.97923	99.96990	99.98933	0.999864	0.999879	
border	3	99.97923	99.96990	99.98933	0.999846	0.999846	
blessing	3	99.98138	99.96990	99.98933	0.999838	0.999824	
bernd	3	99.97996	99.96990	99.98933	0.999855	0.999862	
berheide	3	99.97923	99.96990	99.98933	0.999828	0.999814	
began	3	99.98211	99.96990	99.98933	0.999865	0.999873	
bicycle	3	99.97923	99.96990	99.98933	0.999840	0.999833	
bitter	3	99.97923	99.96990	99.98933	0.999846	0.999846	
bavaria	3	99.98346	99.96990	99.98933	0.999852	0.999845	
bams	3	99.98353	99.96990	99.98933	0.999885	0.999899	
