Type	Frequency	bleu	macrof	microf	CHRF1	CHRF3
direction	4	99.97304	99.96990	99.98720	0.999723	0.999723	
demand	4	99.97446	99.96990	99.98720	0.999798	0.999798	
demonstrate	4	99.97231	99.96990	99.98720	0.999675	0.999675	
depot	4	99.97304	99.96990	99.98720	0.999819	0.999819	
defeated	4	99.97231	99.96990	99.98720	0.999747	0.999747	
decrypto	4	99.97519	99.96990	99.98720	0.999760	0.999760	
decisive	4	99.97519	99.96990	99.98720	0.999757	0.999757	
defender	4	99.97304	99.96990	99.98720	0.999747	0.999747	
definitely	4	99.97377	99.96990	99.98720	0.999699	0.999699	
defended	4	99.97377	99.96990	99.98720	0.999747	0.999747	
debut	4	99.97446	99.96990	99.98720	0.999829	0.999829	
decided	4	99.97446	99.96990	99.98720	0.999771	0.999771	
cycle	4	99.97661	99.96990	99.98720	0.999832	0.999832	
damaged	4	99.97446	99.96990	99.98720	0.999781	0.999781	
culture	4	99.97446	99.96990	99.98720	0.999781	0.999781	
create	4	99.97231	99.96990	99.98720	0.999795	0.999795	
counter	4	99.97231	99.96990	99.98720	0.999771	0.999771	
continue	4	99.97231	99.96990	99.98720	0.999747	0.999747	
cost	4	99.97377	99.96990	99.98720	0.999843	0.999843	
conservative	4	99.97377	99.96990	99.98720	0.999651	0.999651	
confirmed	4	99.97231	99.96990	99.98720	0.999723	0.999723	
competitive	4	99.97377	99.96990	99.98720	0.999675	0.999675	
completed	4	99.97304	99.96990	99.98720	0.999723	0.999723	
clean	4	99.97446	99.96990	99.98720	0.999820	0.999820	
closed	4	99.97231	99.96990	99.98720	0.999795	0.999795	
commission	4	99.97231	99.96990	99.98720	0.999699	0.999699	
chris	4	99.97231	99.96990	99.98720	0.999819	0.999819	
christoph	4	99.97377	99.96990	99.98720	0.999723	0.999723	
class	4	99.97231	99.96990	99.98720	0.999819	0.999819	
chief	4	99.97231	99.96990	99.98720	0.999819	0.999819	
child	4	99.97377	99.96990	99.98720	0.999825	0.999825	
catch	4	99.97231	99.96990	99.98720	0.999819	0.999819	
causes	4	99.97231	99.96990	99.98720	0.999795	0.999795	
care	4	99.97231	99.96990	99.98720	0.999843	0.999843	
castle	4	99.97231	99.96990	99.98720	0.999795	0.999795	
cars	4	99.97949	99.96990	99.98720	0.999852	0.999852	
catalonia	4	99.97446	99.96990	99.98720	0.999733	0.999733	
cards	4	99.97446	99.96990	99.98720	0.999829	0.999829	
captain	4	99.97231	99.96990	99.98720	0.999771	0.999771	
cancer	4	99.97869	99.96990	99.98720	0.999820	0.999820	
bus	4	99.97377	99.96990	99.98720	0.999867	0.999867	
business	4	99.97519	99.96990	99.98720	0.999757	0.999757	
cake	4	99.97519	99.96990	99.98720	0.999854	0.999854	
bundestag	4	99.97304	99.96990	99.98720	0.999723	0.999723	
built	4	99.97231	99.96990	99.98720	0.999819	0.999819	
british	4	99.97734	99.96990	99.98720	0.999774	0.999774	
braunschweig	4	99.97592	99.96990	99.98720	0.999654	0.999654	
breast	4	99.97446	99.96990	99.98720	0.999795	0.999795	
bring	4	99.97304	99.96990	99.98720	0.999819	0.999819	
bonesaw	4	99.97231	99.96990	99.98720	0.999771	0.999771	
bone	4	99.97231	99.96990	99.98720	0.999843	0.999843	
blues	4	99.97231	99.96990	99.98720	0.999819	0.999819	
bit	4	99.97304	99.96990	99.98720	0.999873	0.999873	
believe	4	99.97231	99.96990	99.98720	0.999771	0.999771	
billion	4	99.97304	99.96990	99.98720	0.999771	0.999771	
beer	4	99.97231	99.96990	99.98720	0.999843	0.999843	
bavarian	4	99.97231	99.96990	99.98720	0.999747	0.999747	
barrier	4	99.97446	99.96990	99.98720	0.999781	0.999781	
bamberg	4	99.97231	99.96990	99.98720	0.999771	0.999771	
bands	4	99.97231	99.96990	99.98720	0.999819	0.999819	
bader	4	99.97231	99.96990	99.98720	0.999819	0.999819	
aware	4	99.97446	99.96990	99.98720	0.999829	0.999829	
asylum	4	99.97231	99.96990	99.98720	0.999795	0.999795	
armed	4	99.97304	99.96990	99.98720	0.999819	0.999819	
athens	4	99.97727	99.96990	99.98720	0.999810	0.999810	
assumed	4	99.97592	99.96990	99.98720	0.999782	0.999782	
andreas	4	99.97869	99.96990	99.98720	0.999789	0.999789	
arrested	4	99.97661	99.96990	99.98720	0.999767	0.999767	
artists	4	99.97446	99.96990	99.98720	0.999781	0.999781	
arrived	4	99.97519	99.96990	99.98720	0.999781	0.999781	
animal	4	99.97446	99.96990	99.98720	0.999805	0.999805	
alvin	4	99.97942	99.96990	99.98720	0.999837	0.999837	
altenrheine	4	99.97519	99.96990	99.98720	0.999681	0.999681	
arithmetic	4	99.97869	99.96990	99.98720	0.999724	0.999724	
approach	4	99.97231	99.96990	99.98720	0.999747	0.999747	
allegri	4	99.97519	99.96990	99.98720	0.999781	0.999781	
album	4	99.97519	99.96990	99.98720	0.999822	0.999822	
along	4	99.97231	99.96990	99.98720	0.999819	0.999819	
aldi	4	99.97519	99.96990	99.98720	0.999844	0.999844	
albersloh	4	99.97654	99.96990	99.98720	0.999738	0.999738	
alarm	4	99.97231	99.96990	99.98720	0.999819	0.999819	
aid	4	99.97304	99.96990	99.98720	0.999867	0.999867	
airlines	4	99.97869	99.96990	99.98720	0.999772	0.999772	
ajax	4	99.97727	99.96990	99.98720	0.999858	0.999858	
agree	4	99.97231	99.96990	99.98720	0.999819	0.999819	
added	4	99.97446	99.96990	99.98720	0.999825	0.999825	
afterwards	4	99.98506	99.96990	99.98720	0.999740	0.999740	
ahead	4	99.97446	99.96990	99.98720	0.999829	0.999829	
afd	4	99.97231	99.96990	99.98720	0.999867	0.999867	
access	4	99.97304	99.96990	99.98720	0.999795	0.999795	
accept	4	99.97231	99.96990	99.98720	0.999795	0.999795	
9	4	99.97377	99.96990	99.98720	0.999915	0.999915	
69	4	99.97304	99.96990	99.98720	0.999897	0.999897	
60	4	99.97304	99.96990	99.98720	0.999891	0.999891	
64	4	99.97231	99.96990	99.98720	0.999891	0.999891	
57	4	99.97446	99.96990	99.98720	0.999894	0.999894	
6	4	99.97377	99.96990	99.98720	0.999915	0.999915	
43	4	99.97231	99.96990	99.98720	0.999891	0.999891	
46	4	99.97519	99.96990	99.98720	0.999894	0.999894	
39	4	99.97304	99.96990	99.98720	0.999897	0.999897	
40	4	99.97519	99.96990	99.98720	0.999892	0.999892	
27	4	99.97734	99.96990	99.98720	0.999904	0.999904	
36	4	99.97377	99.96990	99.98720	0.999892	0.999892	
3,000	4	99.97304	99.96990	99.98720	0.999819	0.999819	
21	4	99.97869	99.96990	99.98720	0.999916	0.999916	
120	4	99.97231	99.96990	99.98720	0.999867	0.999867	
200	4	99.97592	99.96990	99.98720	0.999867	0.999867	
1991	4	99.98084	99.96990	99.98720	0.999875	0.999875	
22	4	99.97231	99.96990	99.98720	0.999891	0.999891	
zorc	3	99.98346	99.96990	99.98933	0.999897	0.999897	
04	4	99.97304	99.96990	99.98720	0.999891	0.999891	
11	4	99.97869	99.96990	99.98720	0.999916	0.999916	
zone	3	99.97923	99.96990	99.98933	0.999882	0.999882	
12	4	99.97231	99.96990	99.98720	0.999891	0.999891	
ye	3	99.97923	99.96990	99.98933	0.999918	0.999918	
written	3	99.97923	99.96990	99.98933	0.999828	0.999828	
würzburg	3	99.98561	99.96990	99.98933	0.999836	0.999836	
wüstenhagen	3	99.98353	99.96990	99.98933	0.999777	0.999777	
wrong	3	99.97996	99.96990	99.98933	0.999864	0.999864	
winning	3	99.97923	99.96990	99.98933	0.999828	0.999828	
works	3	99.97923	99.96990	99.98933	0.999864	0.999864	
workers	3	99.97923	99.96990	99.98933	0.999828	0.999828	
wishes	3	99.98138	99.96990	99.98933	0.999847	0.999847	
westhues	3	99.98346	99.96990	99.98933	0.999825	0.999825	
welcomed	3	99.97923	99.96990	99.98933	0.999810	0.999810	
weight	3	99.98353	99.96990	99.98933	0.999856	0.999856	
wednesday	3	99.98353	99.96990	99.98933	0.999813	0.999813	
website	3	99.98138	99.96990	99.98933	0.999838	0.999838	
web	3	99.98353	99.96990	99.98933	0.999910	0.999910	
watford	3	99.98069	99.96990	99.98933	0.999834	0.999834	
watch	3	99.97996	99.96990	99.98933	0.999864	0.999864	
walter	3	99.98142	99.96990	99.98933	0.999846	0.999846	
wait	3	99.97923	99.96990	99.98933	0.999882	0.999882	
violence	3	99.98561	99.96990	99.98933	0.999836	0.999836	
volker	3	99.97996	99.96990	99.98933	0.999846	0.999846	
version	3	99.97923	99.96990	99.98933	0.999828	0.999828	
voted	3	99.97923	99.96990	99.98933	0.999864	0.999864	
village	3	99.98138	99.96990	99.98933	0.999838	0.999838	
valencia	3	99.97923	99.96990	99.98933	0.999810	0.999810	
victims	3	99.97923	99.96990	99.98933	0.999828	0.999828	
uphus	3	99.98138	99.96990	99.98933	0.999867	0.999867	
venue	3	99.97923	99.96990	99.98933	0.999864	0.999864	
unbeatable	3	99.98138	99.96990	99.98933	0.999784	0.999784	
unknown	3	99.97923	99.96990	99.98933	0.999828	0.999828	
turn	3	99.97923	99.96990	99.98933	0.999882	0.999882	
unfortunately	3	99.98561	99.96990	99.98933	0.999746	0.999746	
usc	3	99.98138	99.96990	99.98933	0.999900	0.999900	
understand	3	99.97996	99.96990	99.98933	0.999775	0.999775	
twitter	3	99.97923	99.96990	99.98933	0.999828	0.999828	
tsv	3	99.97996	99.96990	99.98933	0.999900	0.999900	
turin	3	99.98138	99.96990	99.98933	0.999874	0.999874	
trying	3	99.97996	99.96990	99.98933	0.999846	0.999846	
tuchel	3	99.98346	99.96990	99.98933	0.999861	0.999861	
trendsport	3	99.98561	99.96990	99.98933	0.999792	0.999792	
trip	3	99.98211	99.96990	99.98933	0.999891	0.999891	
trains	3	99.98353	99.96990	99.98933	0.999856	0.999856	
tourism	3	99.97923	99.96990	99.98933	0.999828	0.999828	
touch	3	99.97923	99.96990	99.98933	0.999864	0.999864	
torn	3	99.98138	99.96990	99.98933	0.999892	0.999892	
throw	3	99.97923	99.96990	99.98933	0.999864	0.999864	
tory	3	99.97996	99.96990	99.98933	0.999882	0.999882	
throughout	3	99.97923	99.96990	99.98933	0.999774	0.999774	
thousands	3	99.98138	99.96990	99.98933	0.999793	0.999793	
thanked	3	99.97923	99.96990	99.98933	0.999828	0.999828	
thank	3	99.98346	99.96990	99.98933	0.999879	0.999879	
tennis	3	99.98346	99.96990	99.98933	0.999861	0.999861	
teacher	3	99.98138	99.96990	99.98933	0.999831	0.999831	
süverkrüp	3	99.98353	99.96990	99.98933	0.999796	0.999796	
talked	3	99.97923	99.96990	99.98933	0.999846	0.999846	
taskforce	3	99.98138	99.96990	99.98933	0.999795	0.999795	
switching	3	99.98211	99.96990	99.98933	0.999792	0.999792	
symbols	3	99.98561	99.96990	99.98933	0.999854	0.999854	
suspected	3	99.97923	99.96990	99.98933	0.999792	0.999792	
swiss	3	99.97923	99.96990	99.98933	0.999864	0.999864	
supporting	3	99.97923	99.96990	99.98933	0.999774	0.999774	
suffering	3	99.97996	99.96990	99.98933	0.999792	0.999792	
suddenly	3	99.97996	99.96990	99.98933	0.999810	0.999810	
sturridge	3	99.98211	99.96990	99.98933	0.999792	0.999792	
substitution	3	99.98211	99.96990	99.98933	0.999748	0.999748	
struggled	3	99.97996	99.96990	99.98933	0.999792	0.999792	
substitute	3	99.97923	99.96990	99.98933	0.999774	0.999774	
subject	3	99.98353	99.96990	99.98933	0.999849	0.999849	
struck	3	99.97996	99.96990	99.98933	0.999846	0.999846	
stuck	3	99.97923	99.96990	99.98933	0.999864	0.999864	
stressful	3	99.98069	99.96990	99.98933	0.999792	0.999792	
stefan	3	99.98346	99.96990	99.98933	0.999861	0.999861	
stir	3	99.98138	99.96990	99.98933	0.999892	0.999892	
stages	3	99.97923	99.96990	99.98933	0.999846	0.999846	
stations	3	99.98353	99.96990	99.98933	0.999831	0.999831	
stadler	3	99.97923	99.96990	99.98933	0.999828	0.999828	
standing	3	99.97996	99.96990	99.98933	0.999810	0.999810	
speaks	3	99.97996	99.96990	99.98933	0.999846	0.999846	
speaking	3	99.98353	99.96990	99.98933	0.999810	0.999810	
solutions	3	99.98211	99.96990	99.98933	0.999808	0.999808	
solution	3	99.97996	99.96990	99.98933	0.999810	0.999810	
solid	3	99.97923	99.96990	99.98933	0.999864	0.999864	
snow	3	99.97923	99.96990	99.98933	0.999882	0.999882	
sky	3	99.98138	99.96990	99.98933	0.999910	0.999910	
smoke	3	99.98427	99.96990	99.98933	0.999870	0.999870	
ski	3	99.98346	99.96990	99.98933	0.999915	0.999915	
situations	3	99.98569	99.96990	99.98933	0.999805	0.999805	
sight	3	99.98138	99.96990	99.98933	0.999867	0.999867	
sides	3	99.97996	99.96990	99.98933	0.999864	0.999864	
shoot	3	99.97923	99.96990	99.98933	0.999864	0.999864	
sg	3	99.98138	99.96990	99.98933	0.999921	0.999921	
seventh	3	99.97996	99.96990	99.98933	0.999828	0.999828	
settlement	3	99.98211	99.96990	99.98933	0.999784	0.999784	
sendenhorst	3	99.98346	99.96990	99.98933	0.999771	0.999771	
semi	3	99.97923	99.96990	99.98933	0.999882	0.999882	
senden	3	99.98346	99.96990	99.98933	0.999861	0.999861	
senior	3	99.98138	99.96990	99.98933	0.999849	0.999849	
separated	3	99.98138	99.96990	99.98933	0.999802	0.999802	
seibert	3	99.98346	99.96990	99.98933	0.999843	0.999843	
seemed	3	99.97923	99.96990	99.98933	0.999846	0.999846	
securities	3	99.97996	99.96990	99.98933	0.999774	0.999774	
sebastian	3	99.97923	99.96990	99.98933	0.999792	0.999792	
secret	3	99.97923	99.96990	99.98933	0.999846	0.999846	
sees	3	99.97923	99.96990	99.98933	0.999882	0.999882	
saxony	3	99.98069	99.96990	99.98933	0.999852	0.999852	
sea	3	99.98346	99.96990	99.98933	0.999915	0.999915	
schroer	3	99.98346	99.96990	99.98933	0.999843	0.999843	
search	3	99.97996	99.96990	99.98933	0.999846	0.999846	
schwesig	3	99.98211	99.96990	99.98933	0.999820	0.999820	
schleswig	3	99.97996	99.96990	99.98933	0.999792	0.999792	
schot	3	99.98346	99.96990	99.98933	0.999879	0.999879	
save	3	99.98284	99.96990	99.98933	0.999888	0.999888	
saved	3	99.97996	99.96990	99.98933	0.999864	0.999864	
ryugu	3	99.98211	99.96990	99.98933	0.999874	0.999874	
safe	3	99.98138	99.96990	99.98933	0.999892	0.999892	
sad	3	99.97923	99.96990	99.98933	0.999900	0.999900	
russian	3	99.97923	99.96990	99.98933	0.999828	0.999828	
rubbish	3	99.97996	99.96990	99.98933	0.999828	0.999828	
ruler	3	99.97923	99.96990	99.98933	0.999864	0.999864	
rotation	3	99.97923	99.96990	99.98933	0.999810	0.999810	
roof	3	99.98138	99.96990	99.98933	0.999885	0.999885	
rohde	3	99.98353	99.96990	99.98933	0.999885	0.999885	
risk	3	99.97996	99.96990	99.98933	0.999882	0.999882	
reus	3	99.97996	99.96990	99.98933	0.999882	0.999882	
resigned	3	99.98419	99.96990	99.98933	0.999825	0.999825	
resulted	3	99.98427	99.96990	99.98933	0.999821	0.999821	
relieve	3	99.97923	99.96990	99.98933	0.999828	0.999828	
reinhard	3	99.97923	99.96990	99.98933	0.999810	0.999810	
relations	3	99.97923	99.96990	99.98933	0.999792	0.999792	
release	3	99.98069	99.96990	99.98933	0.999828	0.999828	
related	3	99.97996	99.96990	99.98933	0.999828	0.999828	
regular	3	99.97923	99.96990	99.98933	0.999828	0.999828	
reach	3	99.97923	99.96990	99.98933	0.999864	0.999864	
regarding	3	99.98346	99.96990	99.98933	0.999807	0.999807	
registered	3	99.97923	99.96990	99.98933	0.999774	0.999774	
recording	3	99.98138	99.96990	99.98933	0.999795	0.999795	
referred	3	99.97996	99.96990	99.98933	0.999810	0.999810	
pupil	3	99.97923	99.96990	99.98933	0.999864	0.999864	
pure	3	99.98069	99.96990	99.98933	0.999882	0.999882	
radar	3	99.98211	99.96990	99.98933	0.999874	0.999874	
proud	3	99.97923	99.96990	99.98933	0.999864	0.999864	
pub	3	99.98346	99.96990	99.98933	0.999915	0.999915	
province	3	99.98138	99.96990	99.98933	0.999820	0.999820	
production	3	99.98138	99.96990	99.98933	0.999774	0.999774	
produced	3	99.97923	99.96990	99.98933	0.999810	0.999810	
procession	3	99.98138	99.96990	99.98933	0.999774	0.999774	
prison	3	99.97996	99.96990	99.98933	0.999846	0.999846	
problems	3	99.97923	99.96990	99.98933	0.999810	0.999810	
post	3	99.98353	99.96990	99.98933	0.999903	0.999903	
poverty	3	99.97923	99.96990	99.98933	0.999828	0.999828	
posted	3	99.97996	99.96990	99.98933	0.999846	0.999846	
powder	3	99.98138	99.96990	99.98933	0.999846	0.999846	
possibly	3	99.97923	99.96990	99.98933	0.999810	0.999810	
population	3	99.98138	99.96990	99.98933	0.999784	0.999784	
political	3	99.97923	99.96990	99.98933	0.999792	0.999792	
pol	3	99.97923	99.96990	99.98933	0.999901	0.999901	
pmi	3	99.98138	99.96990	99.98933	0.999903	0.999903	
pliening	3	99.98353	99.96990	99.98933	0.999823	0.999823	
pleased	3	99.98138	99.96990	99.98933	0.999838	0.999838	
playful	3	99.97996	99.96990	99.98933	0.999829	0.999829	
pieces	3	99.98138	99.96990	99.98933	0.999856	0.999856	
plans	3	99.97923	99.96990	99.98933	0.999864	0.999864	
period	3	99.97923	99.96990	99.98933	0.999846	0.999846	
pianist	3	99.97923	99.96990	99.98933	0.999828	0.999828	
perspective	3	99.97923	99.96990	99.98933	0.999756	0.999756	
paulo	3	99.98138	99.96990	99.98933	0.999874	0.999874	
participate	3	99.97923	99.96990	99.98933	0.999756	0.999756	
participants	3	99.98138	99.96990	99.98933	0.999739	0.999739	
performances	3	99.98353	99.96990	99.98933	0.999758	0.999758	
partners	3	99.97923	99.96990	99.98933	0.999810	0.999810	
peier	3	99.97923	99.96990	99.98933	0.999864	0.999864	
parents	3	99.98138	99.96990	99.98933	0.999838	0.999838	
organs	3	99.97923	99.96990	99.98933	0.999846	0.999846	
owners	3	99.98138	99.96990	99.98933	0.999856	0.999856	
organizer	3	99.98346	99.96990	99.98933	0.999807	0.999807	
owner	3	99.98138	99.96990	99.98933	0.999867	0.999867	
overtaken	3	99.97923	99.96990	99.98933	0.999792	0.999792	
oriented	3	99.97923	99.96990	99.98933	0.999810	0.999810	
officials	3	99.98138	99.96990	99.98933	0.999802	0.999802	
ostbevern	3	99.98138	99.96990	99.98933	0.999792	0.999792	
opposed	3	99.97923	99.96990	99.98933	0.999828	0.999828	
nine	3	99.98561	99.96990	99.98933	0.999897	0.999897	
northern	3	99.98069	99.96990	99.98933	0.999810	0.999810	
o	3	99.97923	99.96990	99.98933	0.999936	0.999936	
ok	3	99.98488	99.96990	99.98933	0.999941	0.999941	
oldenburg	3	99.98346	99.96990	99.98933	0.999807	0.999807	
niemerg	3	99.97923	99.96990	99.98933	0.999828	0.999828	
nigeria	3	99.97923	99.96990	99.98933	0.999828	0.999828	
neighboring	3	99.98346	99.96990	99.98933	0.999771	0.999771	
needed	3	99.98211	99.96990	99.98933	0.999852	0.999852	
negotiations	3	99.97923	99.96990	99.98933	0.999738	0.999738	
napoli	3	99.98353	99.96990	99.98933	0.999867	0.999867	
myself	3	99.97923	99.96990	99.98933	0.999846	0.999846	
musical	3	99.97996	99.96990	99.98933	0.999828	0.999828	
musician	3	99.98138	99.96990	99.98933	0.999820	0.999820	
münster	3	99.97923	99.96990	99.98933	0.999828	0.999828	
münch	3	99.98419	99.96990	99.98933	0.999879	0.999879	
move	3	99.97923	99.96990	99.98933	0.999882	0.999882	
mountain	3	99.97996	99.96990	99.98933	0.999810	0.999810	
moorland	3	99.98346	99.96990	99.98933	0.999825	0.999825	
mosquito	3	99.97923	99.96990	99.98933	0.999810	0.999810	
mother	3	99.98138	99.96990	99.98933	0.999846	0.999846	
motor	3	99.97923	99.96990	99.98933	0.999864	0.999864	
missile	3	99.97923	99.96990	99.98933	0.999828	0.999828	
millions	3	99.97923	99.96990	99.98933	0.999810	0.999810	
mittelehrenbach	3	99.98569	99.96990	99.98933	0.999715	0.999715	
mgv	3	99.97923	99.96990	99.98933	0.999900	0.999900	
months	3	99.98138	99.96990	99.98933	0.999856	0.999856	
military	3	99.98138	99.96990	99.98933	0.999820	0.999820	
mexican	3	99.98211	99.96990	99.98933	0.999831	0.999831	
martin	3	99.98138	99.96990	99.98933	0.999856	0.999856	
metal	3	99.97996	99.96990	99.98933	0.999864	0.999864	
mid	3	99.97923	99.96990	99.98933	0.999900	0.999900	
meat	3	99.98138	99.96990	99.98933	0.999892	0.999892	
metres	3	99.98138	99.96990	99.98933	0.999856	0.999856	
marquee	3	99.97923	99.96990	99.98933	0.999828	0.999828	
male	3	99.97923	99.96990	99.98933	0.999882	0.999882	
magnitude	3	99.97996	99.96990	99.98933	0.999793	0.999793	
located	3	99.97996	99.96990	99.98933	0.999828	0.999828	
loss	3	99.98346	99.96990	99.98933	0.999897	0.999897	
luca	3	99.98138	99.96990	99.98933	0.999882	0.999882	
lewandowski	3	99.98138	99.96990	99.98933	0.999766	0.999766	
lifted	3	99.97923	99.96990	99.98933	0.999846	0.999846	
lengerich	3	99.98138	99.96990	99.98933	0.999798	0.999798	
leaders	3	99.98211	99.96990	99.98933	0.999831	0.999831	
lawyer	3	99.98138	99.96990	99.98933	0.999856	0.999856	
latter	3	99.98353	99.96990	99.98933	0.999852	0.999852	
launched	3	99.97923	99.96990	99.98933	0.999810	0.999810	
latest	3	99.97923	99.96990	99.98933	0.999846	0.999846	
lahm	3	99.97923	99.96990	99.98933	0.999882	0.999882	
lars	3	99.98211	99.96990	99.98933	0.999882	0.999882	
kulturbahnhof	3	99.98569	99.96990	99.98933	0.999744	0.999744	
kreimer	3	99.98353	99.96990	99.98933	0.999838	0.999838	
kovac	3	99.97996	99.96990	99.98933	0.999864	0.999864	
klimow	3	99.97923	99.96990	99.98933	0.999846	0.999846	
kanye	3	99.98346	99.96990	99.98933	0.999879	0.999879	
kitchen	3	99.98138	99.96990	99.98933	0.999838	0.999838	
kindergarten	3	99.97996	99.96990	99.98933	0.999738	0.999738	
juve	3	99.98138	99.96990	99.98933	0.999892	0.999892	
kerber	3	99.98768	99.96990	99.98933	0.999877	0.999877	
jury	3	99.98427	99.96990	99.98933	0.999888	0.999888	
julian	3	99.98353	99.96990	99.98933	0.999846	0.999846	
juventus	3	99.97996	99.96990	99.98933	0.999810	0.999810	
juice	3	99.98138	99.96990	99.98933	0.999874	0.999874	
jair	3	99.98069	99.96990	99.98933	0.999882	0.999882	
jan	3	99.97923	99.96990	99.98933	0.999900	0.999900	
iom	3	99.98211	99.96990	99.98933	0.999909	0.999909	
issues	3	99.97996	99.96990	99.98933	0.999846	0.999846	
jong	3	99.98069	99.96990	99.98933	0.999888	0.999888	
institute	3	99.97923	99.96990	99.98933	0.999792	0.999792	
installed	3	99.97923	99.96990	99.98933	0.999792	0.999792	
injuries	3	99.98569	99.96990	99.98933	0.999831	0.999831	
inviting	3	99.97923	99.96990	99.98933	0.999810	0.999810	
initial	3	99.98069	99.96990	99.98933	0.999828	0.999828	
informed	3	99.98211	99.96990	99.98933	0.999813	0.999813	
ilona	3	99.98211	99.96990	99.98933	0.999874	0.999874	
importance	3	99.97923	99.96990	99.98933	0.999774	0.999774	
imprisoned	3	99.98138	99.96990	99.98933	0.999784	0.999784	
indonesian	3	99.97923	99.96990	99.98933	0.999774	0.999774	
immigration	3	99.98069	99.96990	99.98933	0.999758	0.999758	
illness	3	99.97923	99.96990	99.98933	0.999828	0.999828	
iller	3	99.97923	99.96990	99.98933	0.999864	0.999864	
ii	3	99.98138	99.96990	99.98933	0.999928	0.999928	
idea	3	99.98353	99.96990	99.98933	0.999885	0.999885	
ihmig	3	99.98138	99.96990	99.98933	0.999865	0.999865	
ignored	3	99.97996	99.96990	99.98933	0.999831	0.999831	
hut	3	99.98138	99.96990	99.98933	0.999910	0.999910	
husband	3	99.98346	99.96990	99.98933	0.999843	0.999843	
humor	3	99.98353	99.96990	99.98933	0.999885	0.999885	
hugh	3	99.97996	99.96990	99.98933	0.999882	0.999882	
hundred	3	99.98069	99.96990	99.98933	0.999828	0.999828	
hof	3	99.97923	99.96990	99.98933	0.999900	0.999900	
holstein	3	99.98138	99.96990	99.98933	0.999820	0.999820	
hoetmar	3	99.98419	99.96990	99.98933	0.999850	0.999850	
hinzenbach	3	99.98561	99.96990	99.98933	0.999800	0.999800	
hollywood	3	99.97923	99.96990	99.98933	0.999792	0.999792	
höhe	3	99.98138	99.96990	99.98933	0.999892	0.999892	
helpers	3	99.98138	99.96990	99.98933	0.999838	0.999838	
highway	3	99.97996	99.96990	99.98933	0.999831	0.999831	
hill	3	99.98138	99.96990	99.98933	0.999892	0.999892	
hartmann	3	99.98138	99.96990	99.98933	0.999810	0.999810	
hartinger	3	99.97923	99.96990	99.98933	0.999792	0.999792	
herself	3	99.97996	99.96990	99.98933	0.999828	0.999828	
halftime	3	99.98569	99.96990	99.98933	0.999816	0.999816	
growth	3	99.97996	99.96990	99.98933	0.999846	0.999846	
handball	3	99.98768	99.96990	99.98933	0.999841	0.999841	
health	3	99.98138	99.96990	99.98933	0.999846	0.999846	
gülen	3	99.97996	99.96990	99.98933	0.999864	0.999864	
haddad	3	99.98138	99.96990	99.98933	0.999856	0.999856	
gregor	3	99.97923	99.96990	99.98933	0.999846	0.999846	
guest	3	99.97996	99.96990	99.98933	0.999864	0.999864	
haller	3	99.97923	99.96990	99.98933	0.999846	0.999846	
grüß	3	99.98138	99.96990	99.98933	0.999882	0.999882	
gift	3	99.98211	99.96990	99.98933	0.999892	0.999892	
gold	3	99.97996	99.96990	99.98933	0.999882	0.999882	
götze	3	99.98346	99.96990	99.98933	0.999879	0.999879	
global	3	99.98346	99.96990	99.98933	0.999861	0.999861	
geske	3	99.98138	99.96990	99.98933	0.999874	0.999874	
gender	3	99.97923	99.96990	99.98933	0.999846	0.999846	
geiger	3	99.97923	99.96990	99.98933	0.999846	0.999846	
geisingen	3	99.98419	99.96990	99.98933	0.999807	0.999807	
gauting	3	99.98138	99.96990	99.98933	0.999831	0.999831	
gardens	3	99.97996	99.96990	99.98933	0.999828	0.999828	
friendly	3	99.97923	99.96990	99.98933	0.999810	0.999810	
friedenskirche	3	99.97923	99.96990	99.98933	0.999702	0.999702	
fortunately	3	99.98768	99.96990	99.98933	0.999787	0.999787	
frequently	3	99.98346	99.96990	99.98933	0.999789	0.999789	
franz	3	99.97923	99.96990	99.98933	0.999864	0.999864	
forever	3	99.98427	99.96990	99.98933	0.999855	0.999855	
flawless	3	99.97923	99.96990	99.98933	0.999810	0.999810	
fled	3	99.97923	99.96990	99.98933	0.999882	0.999882	
flames	3	99.98353	99.96990	99.98933	0.999867	0.999867	
fischbachau	3	99.98984	99.96990	99.98933	0.999793	0.999793	
festivals	3	99.98138	99.96990	99.98933	0.999802	0.999802	
fatally	3	99.98346	99.96990	99.98933	0.999843	0.999843	
follows	3	99.97923	99.96990	99.98933	0.999828	0.999828	
fetsch	3	99.98346	99.96990	99.98933	0.999861	0.999861	
finished	3	99.97923	99.96990	99.98933	0.999810	0.999810	
favorite	3	99.97923	99.96990	99.98933	0.999810	0.999810	
false	3	99.97923	99.96990	99.98933	0.999864	0.999864	
farmers	3	99.97996	99.96990	99.98933	0.999828	0.999828	
falling	3	99.97923	99.96990	99.98933	0.999828	0.999828	
favorites	3	99.97923	99.96990	99.98933	0.999792	0.999792	
eye	3	99.98211	99.96990	99.98933	0.999900	0.999900	
exit	3	99.97923	99.96990	99.98933	0.999882	0.999882	
excellent	3	99.97923	99.96990	99.98933	0.999792	0.999792	
excluded	3	99.98353	99.96990	99.98933	0.999821	0.999821	
euro	3	99.97923	99.96990	99.98933	0.999882	0.999882	
expert	3	99.97996	99.96990	99.98933	0.999846	0.999846	
