Type	Frequency	CHRF1	CHRF3
seemed	3	0.999900	0.999857	
secret	3	0.999900	0.999857	
sebastian	3	0.999882	0.999817	
search	3	0.999900	0.999857	
sea	3	0.999943	0.999921	
schwesig	3	0.999892	0.999835	
schroer	3	0.999906	0.999856	
saved	3	0.999909	0.999873	
saxony	3	0.999911	0.999868	
schot	3	0.999925	0.999888	
schleswig	3	0.999873	0.999808	
save	3	0.999924	0.999896	
sad	3	0.999927	0.999906	
safe	3	0.999928	0.999900	
ryugu	3	0.999919	0.999883	
russian	3	0.999891	0.999841	
ruler	3	0.999909	0.999873	
rotation	3	0.999892	0.999835	
rubbish	3	0.999891	0.999841	
roof	3	0.999921	0.999893	
rohde	3	0.999930	0.999894	
risk	3	0.999918	0.999889	
reus	3	0.999918	0.999889	
resulted	3	0.999893	0.999836	
release	3	0.999896	0.999846	
resigned	3	0.999903	0.999845	
relieve	3	0.999916	0.999865	
relations	3	0.999873	0.999808	
related	3	0.999891	0.999841	
regular	3	0.999891	0.999841	
reinhard	3	0.999887	0.999830	
referred	3	0.999882	0.999825	
regarding	3	0.999888	0.999824	
registered	3	0.999864	0.999792	
recording	3	0.999876	0.999811	
reach	3	0.999909	0.999873	
pure	3	0.999918	0.999889	
radar	3	0.999919	0.999883	
pupil	3	0.999909	0.999873	
province	3	0.999892	0.999835	
pub	3	0.999943	0.999921	
proud	3	0.999909	0.999873	
production	3	0.999869	0.999797	
procession	3	0.999864	0.999792	
produced	3	0.999882	0.999825	
prison	3	0.999910	0.999867	
problems	3	0.999882	0.999825	
powder	3	0.999905	0.999862	
poverty	3	0.999891	0.999841	
post	3	0.999939	0.999910	
posted	3	0.999900	0.999857	
population	3	0.999874	0.999802	
possibly	3	0.999882	0.999825	
political	3	0.999885	0.999821	
pol	3	0.999928	0.999907	
pmi	3	0.999930	0.999909	
pleased	3	0.999901	0.999851	
pliening	3	0.999896	0.999838	
playful	3	0.999897	0.999847	
pianist	3	0.999891	0.999841	
plans	3	0.999909	0.999873	
pieces	3	0.999910	0.999867	
perspective	3	0.999855	0.999776	
period	3	0.999900	0.999857	
performances	3	0.999867	0.999780	
peier	3	0.999918	0.999882	
paulo	3	0.999925	0.999889	
partners	3	0.999882	0.999825	
parents	3	0.999901	0.999851	
participate	3	0.999855	0.999776	
participants	3	0.999847	0.999761	
owner	3	0.999915	0.999879	
owners	3	0.999915	0.999872	
overtaken	3	0.999873	0.999808	
ostbevern	3	0.999873	0.999808	
oriented	3	0.999882	0.999825	
organs	3	0.999900	0.999857	
opposed	3	0.999896	0.999846	
organizer	3	0.999893	0.999829	
ok	3	0.999955	0.999944	
oldenburg	3	0.999888	0.999824	
officials	3	0.999883	0.999819	
o	3	0.999945	0.999938	
northern	3	0.999887	0.999830	
niemerg	3	0.999891	0.999841	
nigeria	3	0.999891	0.999841	
nine	3	0.999939	0.999910	
neighboring	3	0.999870	0.999791	
negotiations	3	0.999846	0.999760	
napoli	3	0.999921	0.999877	
needed	3	0.999907	0.999864	
musician	3	0.999892	0.999835	
myself	3	0.999900	0.999857	
musical	3	0.999891	0.999841	
münster	3	0.999891	0.999841	
münch	3	0.999925	0.999888	
move	3	0.999927	0.999899	
mountain	3	0.999887	0.999830	
motor	3	0.999909	0.999873	
mother	3	0.999900	0.999857	
moorland	3	0.999897	0.999840	
mosquito	3	0.999882	0.999825	
months	3	0.999911	0.999868	
mittelehrenbach	3	0.999850	0.999742	
military	3	0.999892	0.999835	
missile	3	0.999891	0.999841	
millions	3	0.999882	0.999825	
mid	3	0.999927	0.999906	
mgv	3	0.999927	0.999906	
mexican	3	0.999894	0.999844	
metres	3	0.999910	0.999867	
metal	3	0.999909	0.999873	
martin	3	0.999910	0.999867	
meat	3	0.999928	0.999900	
marquee	3	0.999896	0.999846	
male	3	0.999923	0.999894	
luca	3	0.999918	0.999889	
loss	3	0.999934	0.999905	
magnitude	3	0.999879	0.999814	
located	3	0.999891	0.999841	
lewandowski	3	0.999870	0.999791	
lifted	3	0.999900	0.999857	
lawyer	3	0.999910	0.999867	
leaders	3	0.999894	0.999844	
lengerich	3	0.999879	0.999815	
launched	3	0.999882	0.999825	
latter	3	0.999906	0.999863	
latest	3	0.999900	0.999857	
lahm	3	0.999918	0.999889	
kulturbahnhof	3	0.999861	0.999767	
lars	3	0.999924	0.999895	
kreimer	3	0.999901	0.999851	
klimow	3	0.999900	0.999857	
kovac	3	0.999909	0.999873	
kitchen	3	0.999901	0.999851	
juventus	3	0.999882	0.999825	
kindergarten	3	0.999846	0.999760	
kanye	3	0.999925	0.999888	
kerber	3	0.999931	0.999887	
juve	3	0.999928	0.999900	
jury	3	0.999924	0.999896	
julian	3	0.999900	0.999857	
juice	3	0.999925	0.999889	
jong	3	0.999924	0.999896	
jan	3	0.999927	0.999906	
jair	3	0.999918	0.999889	
issues	3	0.999900	0.999857	
installed	3	0.999882	0.999817	
institute	3	0.999873	0.999808	
iom	3	0.999937	0.999915	
inviting	3	0.999882	0.999825	
injuries	3	0.999903	0.999845	
initial	3	0.999891	0.999841	
informed	3	0.999885	0.999828	
indonesian	3	0.999890	0.999817	
imprisoned	3	0.999879	0.999807	
importance	3	0.999869	0.999797	
immigration	3	0.999862	0.999783	
ilona	3	0.999919	0.999883	
ii	3	0.999946	0.999932	
iller	3	0.999909	0.999873	
illness	3	0.999891	0.999841	
ihmig	3	0.999910	0.999874	
idea	3	0.999926	0.999898	
ignored	3	0.999904	0.999854	
husband	3	0.999906	0.999856	
hut	3	0.999937	0.999916	
hundred	3	0.999891	0.999841	
hugh	3	0.999918	0.999889	
humor	3	0.999930	0.999894	
holstein	3	0.999892	0.999835	
hollywood	3	0.999878	0.999813	
höhe	3	0.999928	0.999900	
hof	3	0.999954	0.999932	
hoetmar	3	0.999913	0.999862	
hill	3	0.999928	0.999900	
hinzenbach	3	0.999890	0.999818	
highway	3	0.999894	0.999844	
herself	3	0.999891	0.999841	
hartmann	3	0.999882	0.999825	
helpers	3	0.999901	0.999851	
health	3	0.999900	0.999857	
handball	3	0.999913	0.999855	
haller	3	0.999905	0.999862	
halftime	3	0.999888	0.999831	
hartinger	3	0.999873	0.999808	
haddad	3	0.999920	0.999876	
gülen	3	0.999909	0.999873	
guest	3	0.999909	0.999873	
grüß	3	0.999918	0.999889	
growth	3	0.999900	0.999857	
gregor	3	0.999905	0.999862	
götze	3	0.999925	0.999888	
gold	3	0.999918	0.999889	
global	3	0.999915	0.999872	
gift	3	0.999928	0.999900	
geske	3	0.999925	0.999888	
gender	3	0.999900	0.999857	
geisingen	3	0.999899	0.999834	
geiger	3	0.999900	0.999857	
gauting	3	0.999894	0.999844	
gardens	3	0.999891	0.999841	
friedenskirche	3	0.999855	0.999755	
frequently	3	0.999879	0.999807	
friendly	3	0.999882	0.999825	
franz	3	0.999909	0.999873	
fortunately	3	0.999886	0.999806	
forever	3	0.999918	0.999867	
follows	3	0.999896	0.999846	
fled	3	0.999918	0.999889	
flawless	3	0.999883	0.999826	
fischbachau	3	0.999896	0.999817	
flames	3	0.999921	0.999877	
finished	3	0.999887	0.999830	
fetsch	3	0.999915	0.999872	
festivals	3	0.999884	0.999820	
favorites	3	0.999878	0.999813	
favorite	3	0.999882	0.999825	
farmers	3	0.999891	0.999841	
fatally	3	0.999906	0.999856	
falling	3	0.999891	0.999841	
false	3	0.999909	0.999873	
eye	3	0.999927	0.999906	
expert	3	0.999900	0.999857	
exclusion	3	0.999873	0.999808	
excluded	3	0.999893	0.999836	
exit	3	0.999918	0.999889	
excellent	3	0.999873	0.999808	
eveking	3	0.999912	0.999861	
euro	3	0.999918	0.999889	
ernst	3	0.999914	0.999878	
enjoyment	3	0.999879	0.999815	
engagement	3	0.999864	0.999792	
energy	3	0.999900	0.999857	
encryptor	3	0.999887	0.999822	
emotional	3	0.999876	0.999811	
emphasizes	3	0.999874	0.999802	
either	3	0.999920	0.999876	
elevator	3	0.999892	0.999835	
electronic	3	0.999864	0.999792	
effective	3	0.999873	0.999808	
eberl	3	0.999909	0.999873	
easier	3	0.999910	0.999867	
e	3	0.999960	0.999953	
earned	3	0.999901	0.999858	
doubt	3	0.999914	0.999878	
dress	3	0.999915	0.999879	
dortmund	3	0.999902	0.999844	
done	3	0.999949	0.999924	
doors	3	0.999919	0.999883	
donau	3	0.999912	0.999876	
dollars	3	0.999912	0.999861	
doctor	3	0.999912	0.999869	
djuricin	3	0.999908	0.999850	
displayed	3	0.999883	0.999819	
divided	3	0.999917	0.999866	
dismantled	3	0.999864	0.999792	
disarmament	3	0.999886	0.999806	
disappointed	3	0.999851	0.999765	
disease	3	0.999904	0.999854	
designed	3	0.999882	0.999825	
disabilities	3	0.999846	0.999760	
dennis	3	0.999900	0.999857	
differences	3	0.999855	0.999776	
demonstrations	3	0.999851	0.999750	
delays	3	0.999915	0.999872	
delivered	3	0.999873	0.999808	
defending	3	0.999873	0.999808	
daut	3	0.999928	0.999900	
daughter	3	0.999903	0.999845	
dark	3	0.999918	0.999889	
daily	3	0.999909	0.999873	
cycling	3	0.999901	0.999851	
crowded	3	0.999901	0.999851	
critically	3	0.999874	0.999802	
criminal	3	0.999887	0.999830	
costs	3	0.999909	0.999873	
conversations	3	0.999837	0.999744	
controversial	3	0.999852	0.999759	
cool	3	0.999918	0.999889	
continues	3	0.999877	0.999812	
contact	3	0.999896	0.999846	
contract	3	0.999882	0.999825	
consistently	3	0.999846	0.999760	
conservation	3	0.999846	0.999760	
conflicts	3	0.999883	0.999819	
conflict	3	0.999892	0.999835	
concordia	3	0.999876	0.999811	
confirmation	3	0.999856	0.999770	
concluded	3	0.999873	0.999808	
concerning	3	0.999864	0.999792	
concern	3	0.999891	0.999841	
compared	3	0.999897	0.999840	
competitions	3	0.999852	0.999766	
colorful	3	0.999891	0.999834	
collided	3	0.999892	0.999835	
color	3	0.999919	0.999883	
cold	3	0.999934	0.999905	
code	3	0.999939	0.999910	
coast	3	0.999927	0.999891	
clip	3	0.999928	0.999900	
closing	3	0.999891	0.999841	
clubs	3	0.999914	0.999878	
clearly	3	0.999906	0.999856	
cleared	3	0.999891	0.999841	
clarified	3	0.999873	0.999808	
citizen	3	0.999891	0.999841	
changes	3	0.999891	0.999841	
cities	3	0.999900	0.999857	
circumstances	3	0.999837	0.999744	
chancellery	3	0.999865	0.999786	
championships	3	0.999852	0.999759	
ceremony	3	0.999882	0.999825	
certain	3	0.999892	0.999842	
centre	3	0.999913	0.999869	
catholic	3	0.999893	0.999836	
career	3	0.999914	0.999871	
caps	3	0.999918	0.999889	
capital	3	0.999891	0.999841	
cannot	3	0.999906	0.999863	
call	3	0.999918	0.999889	
brett	3	0.999925	0.999888	
candidates	3	0.999864	0.999792	
büring	3	0.999910	0.999867	
bronze	3	0.999910	0.999867	
brand	3	0.999909	0.999873	
box	3	0.999937	0.999916	
bottom	3	0.999915	0.999872	
born	3	0.999918	0.999889	
border	3	0.999900	0.999857	
book	3	0.999918	0.999889	
bernd	3	0.999918	0.999882	
blood	3	0.999930	0.999894	
bitter	3	0.999900	0.999857	
blocked	3	0.999896	0.999846	
bicycle	3	0.999906	0.999856	
blessing	3	0.999892	0.999835	
began	3	0.999920	0.999884	
berheide	3	0.999887	0.999830	
bavaria	3	0.999906	0.999856	
bams	3	0.999939	0.999910	
bad	3	0.999932	0.999911	
ban	3	0.999937	0.999916	
aydogdu	3	0.999908	0.999857	
awarded	3	0.999891	0.999841	
authority	3	0.999873	0.999808	
average	3	0.999896	0.999846	
authorities	3	0.999860	0.999781	
austrian	3	0.999882	0.999825	
attacks	3	0.999905	0.999855	
attacking	3	0.999873	0.999808	
assumes	3	0.999909	0.999858	
asg	3	0.999946	0.999924	
arms	3	0.999934	0.999905	
apples	3	0.999900	0.999857	
architect	3	0.999883	0.999819	
applause	3	0.999887	0.999830	
apart	3	0.999935	0.999899	
anyway	3	0.999936	0.999893	
aogo	3	0.999939	0.999910	
annoyed	3	0.999901	0.999851	
anti	3	0.999918	0.999889	
alternative	3	0.999855	0.999776	
allow	3	0.999909	0.999873	
annual	3	0.999900	0.999857	
allegations	3	0.999855	0.999776	
allbright	3	0.999888	0.999824	
aircraft	3	0.999882	0.999825	
aigner	3	0.999900	0.999857	
agenda	3	0.999920	0.999876	
affected	3	0.999897	0.999840	
addressed	3	0.999883	0.999819	
address	3	0.999891	0.999841	
actor	3	0.999919	0.999883	
advantage	3	0.999878	0.999813	
actions	3	0.999917	0.999866	
achieved	3	0.999896	0.999839	
accompanied	3	0.999855	0.999776	
accordingly	3	0.999872	0.999793	
accidents	3	0.999894	0.999829	
abtswind	3	0.999882	0.999825	
aasee	3	0.999940	0.999904	
84	3	0.999937	0.999923	
86	3	0.999936	0.999922	
800	3	0.999927	0.999906	
89th	3	0.999918	0.999889	
76	3	0.999936	0.999922	
65	3	0.999936	0.999922	
72	3	0.999936	0.999922	
60th	3	0.999918	0.999889	
59th	3	0.999918	0.999889	
52	3	0.999946	0.999932	
50th	3	0.999918	0.999889	
49	3	0.999936	0.999922	
500	3	0.999927	0.999906	
47	3	0.999942	0.999928	
400	3	0.999943	0.999921	
37	3	0.999936	0.999922	
3rd	3	0.999927	0.999906	
245.7	3	0.999910	0.999874	
23	3	0.999936	0.999922	
150	3	0.999927	0.999906	
2024	3	0.999928	0.999900	
1,500	3	0.999909	0.999873	
10,000	3	0.999919	0.999875	
05	3	0.999936	0.999922	
...	3	0.999973	0.999951	
zymner	2	0.999934	0.999905	
zieler	2	0.999934	0.999905	
zero	2	0.999956	0.999936	
zeitung	2	0.999934	0.999900	
zdf	2	0.999952	0.999937	
yilmaz	2	0.999934	0.999905	
yann	2	0.999946	0.999926	
yesterday	2	0.999941	0.999898	
x	2	0.999964	0.999959	
wulff	2	0.999940	0.999915	
wrote	2	0.999951	0.999927	
wrongdoing	2	0.999935	0.999887	
worse	2	0.999965	0.999941	
worrying	2	0.999921	0.999883	
withdrawal	2	0.999909	0.999861	
withdrawn	2	0.999915	0.999872	
witness	2	0.999943	0.999909	
windspiel	2	0.999915	0.999872	
wish	2	0.999946	0.999926	
windows	2	0.999928	0.999894	
wild	2	0.999946	0.999926	
wiesel	2	0.999935	0.999906	
wieckowicz	2	0.999909	0.999861	
wiebke	2	0.999934	0.999905	
whole	2	0.999955	0.999931	
wherever	2	0.999921	0.999883	
western	2	0.999933	0.999899	
werdohl	2	0.999958	0.999924	
westbuer	2	0.999932	0.999893	
welt	2	0.999946	0.999926	
welcoming	2	0.999915	0.999872	
wenzel	2	0.999949	0.999920	
weilerswist	2	0.999914	0.999861	
weekly	2	0.999934	0.999905	
wasn	2	0.999952	0.999932	
walks	2	0.999940	0.999915	
weak	2	0.999946	0.999926	
walberla	2	0.999921	0.999883	
vows	2	0.999946	0.999926	
voters	2	0.999949	0.999920	
volkswagen	2	0.999920	0.999872	
visited	2	0.999938	0.999904	
vision	2	0.999935	0.999907	
violent	2	0.999943	0.999909	
viewed	2	0.999934	0.999905	
view	2	0.999966	0.999947	
veljkovic	2	0.999926	0.999882	
videos	2	0.999944	0.999915	
vehicle	2	0.999938	0.999904	
ve	2	0.999964	0.999954	
various	2	0.999928	0.999894	
vc	2	0.999958	0.999948	
vandalism	2	0.999915	0.999872	
values	2	0.999944	0.999915	
valued	2	0.999934	0.999905	
value	2	0.999955	0.999931	
valuable	2	0.999921	0.999883	
using	2	0.999940	0.999915	
valerie	2	0.999928	0.999894	
usual	2	0.999940	0.999915	
untied	2	0.999934	0.999905	
updated	2	0.999938	0.999904	
unthinkable	2	0.999909	0.999856	
unsuccessful	2	0.999897	0.999840	
university	2	0.999909	0.999861	
units	2	0.999950	0.999926	
unit	2	0.999946	0.999926	
unification	2	0.999914	0.999861	
unique	2	0.999939	0.999910	
uncomfortable	2	0.999907	0.999844	
unanimously	2	0.999903	0.999851	
unacceptable	2	0.999909	0.999851	
ulm	2	0.999957	0.999942	
typical	2	0.999928	0.999894	
turns	2	0.999940	0.999915	
tron	2	0.999946	0.999926	
turl	2	0.999956	0.999936	
trimmed	2	0.999953	0.999919	
tribute	2	0.999938	0.999904	
trend	2	0.999950	0.999926	
treated	2	0.999928	0.999894	
treatment	2	0.999926	0.999882	
treat	2	0.999945	0.999921	
trapped	2	0.999933	0.999899	
train	2	0.999940	0.999915	
traditional	2	0.999907	0.999854	
tournament	2	0.999909	0.999861	
tower	2	0.999945	0.999921	
trading	2	0.999940	0.999906	
tradition	2	0.999926	0.999882	
tough	2	0.999942	0.999918	
tottenham	2	0.999915	0.999872	
torró	2	0.999940	0.999915	
torchlight	2	0.999925	0.999877	
topics	2	0.999939	0.999910	
tolerance	2	0.999921	0.999877	
titles	2	0.999934	0.999905	
togetherness	2	0.999897	0.999840	
toilet	2	0.999934	0.999905	
tips	2	0.999946	0.999926	
tinnenbusch	2	0.999904	0.999852	
tim	2	0.999952	0.999937	
tight	2	0.999940	0.999915	
thrown	2	0.999935	0.999906	
threshold	2	0.999921	0.999877	
threat	2	0.999949	0.999920	
thigh	2	0.999950	0.999926	
thin	2	0.999946	0.999926	
thereafter	2	0.999930	0.999882	
thick	2	0.999940	0.999915	
thanksgiving	2	0.999913	0.999855	
thanking	2	0.999931	0.999892	
tgd	2	0.999952	0.999937	
tests	2	0.999940	0.999915	
terrible	2	0.999926	0.999887	
tender	2	0.999934	0.999905	
tent	2	0.999956	0.999936	
teachers	2	0.999921	0.999883	
tasked	2	0.999943	0.999914	
targets	2	0.999928	0.999895	
tag	2	0.999958	0.999943	
tactical	2	0.999921	0.999883	
tables	2	0.999944	0.999915	
syria	2	0.999950	0.999926	
symbolic	2	0.999921	0.999883	
susanne	2	0.999928	0.999894	
switzerland	2	0.999924	0.999871	
surface	2	0.999928	0.999894	
sweden	2	0.999934	0.999905	
surveys	2	0.999929	0.999895	
supply	2	0.999934	0.999905	
suffered	2	0.999923	0.999884	
superiority	2	0.999907	0.999854	
sunshine	2	0.999932	0.999893	
successfully	2	0.999908	0.999850	
successor	2	0.999926	0.999882	
sued	2	0.999946	0.999926	
succeed	2	0.999943	0.999909	
study	2	0.999946	0.999922	
studies	2	0.999928	0.999894	
studio	2	0.999940	0.999911	
strictly	2	0.999937	0.999898	
students	2	0.999932	0.999893	
strip	2	0.999955	0.999931	
stretch	2	0.999938	0.999904	
straße	2	0.999945	0.999916	
streets	2	0.999928	0.999895	
straßberg	2	0.999915	0.999872	
storm	2	0.999940	0.999915	
story	2	0.999940	0.999915	
stereotypical	2	0.999891	0.999829	
sterling	2	0.999921	0.999883	
stepped	2	0.999928	0.999894	
steel	2	0.999950	0.999926	
starts	2	0.999934	0.999905	
stay	2	0.999955	0.999935	
statements	2	0.999935	0.999887	
starz	2	0.999940	0.999915	
staying	2	0.999928	0.999894	
stars	2	0.999940	0.999915	
staircase	2	0.999921	0.999877	
spread	2	0.999944	0.999915	
stadium	2	0.999948	0.999914	
sporting	2	0.999921	0.999883	
sport	2	0.999950	0.999926	
sponsors	2	0.999932	0.999893	
split	2	0.999940	0.999915	
spokesman	2	0.999915	0.999872	
spoken	2	0.999934	0.999905	
spirit	2	0.999934	0.999905	
species	2	0.999928	0.999894	
speakers	2	0.999921	0.999883	
spend	2	0.999940	0.999915	
specialties	2	0.999914	0.999861	
space	2	0.999945	0.999921	
speaker	2	0.999928	0.999894	
speak	2	0.999940	0.999915	
spaces	2	0.999934	0.999905	
sosa	2	0.999956	0.999936	
songwriter	2	0.999909	0.999861	
sommer	2	0.999934	0.999905	
söllner	2	0.999945	0.999911	
somebody	2	0.999934	0.999895	
s.oliver	2	0.999921	0.999883	
sofuoglu	2	0.999932	0.999893	
smell	2	0.999940	0.999915	
slight	2	0.999937	0.999908	
slalom	2	0.999934	0.999905	
smart	2	0.999945	0.999921	
skopje	2	0.999949	0.999920	
sits	2	0.999946	0.999926	
skilled	2	0.999937	0.999903	
sixth	2	0.999940	0.999915	
singapore	2	0.999915	0.999872	
sing	2	0.999946	0.999926	
sinan	2	0.999940	0.999915	
silge	2	0.999945	0.999921	
shut	2	0.999946	0.999926	
siegemund	2	0.999931	0.999887	
significantly	2	0.999892	0.999830	
shoulders	2	0.999921	0.999877	
shots	2	0.999940	0.999915	
showing	2	0.999928	0.999894	
shocked	2	0.999937	0.999903	
shoe	2	0.999951	0.999931	
shiny	2	0.999940	0.999915	
ship	2	0.999952	0.999932	
sheet	2	0.999940	0.999915	
sharp	2	0.999940	0.999915	
shared	2	0.999934	0.999905	
shards	2	0.999949	0.999920	
sex	2	0.999952	0.999937	
shaqiri	2	0.999943	0.999909	
sexual	2	0.999934	0.999905	
settle	2	0.999935	0.999906	
settled	2	0.999928	0.999894	
served	2	0.999934	0.999905	
separatist	2	0.999925	0.999877	
sergio	2	0.999934	0.999905	
separate	2	0.999921	0.999883	
sensitive	2	0.999921	0.999877	
send	2	0.999946	0.999926	
sense	2	0.999940	0.999915	
senator	2	0.999928	0.999894	
selfie	2	0.999939	0.999910	
selection	2	0.999915	0.999872	
self	2	0.999951	0.999931	
seeker	2	0.999934	0.999905	
seeheim	2	0.999928	0.999894	
section	2	0.999933	0.999899	
sebastián	2	0.999929	0.999885	
seconds	2	0.999938	0.999904	
searching	2	0.999915	0.999872	
sda	2	0.999972	0.999957	
scientists	2	0.999909	0.999861	
schramm	2	0.999943	0.999909	
schröer	2	0.999952	0.999918	
schools	2	0.999938	0.999904	
schneider	2	0.999915	0.999872	
schlierenzauer	2	0.999896	0.999828	
scheuer	2	0.999937	0.999903	
schmidt	2	0.999938	0.999904	
schemmelmann	2	0.999914	0.999856	
scary	2	0.999940	0.999915	
scared	2	0.999934	0.999905	
scales	2	0.999964	0.999935	
satirical	2	0.999931	0.999887	
scaffold	2	0.999932	0.999893	
sasic	2	0.999940	0.999915	
são	2	0.999952	0.999937	
sang	2	0.999947	0.999927	
salzburg	2	0.999925	0.999886	
salaries	2	0.999921	0.999883	
salute	2	0.999934	0.999905	
sale	2	0.999956	0.999936	
salah	2	0.999940	0.999915	
ryder	2	0.999964	0.999940	
saalfelden	2	0.999921	0.999873	
saint	2	0.999955	0.999931	
rw	2	0.999958	0.999948	
rwa	2	0.999967	0.999952	
rush	2	0.999946	0.999926	
runner	2	0.999934	0.999905	
rules	2	0.999953	0.999929	
ruhr	2	0.999946	0.999926	
rüdingloh	2	0.999915	0.999872	
rtl	2	0.999952	0.999937	
rottmann	2	0.999932	0.999893	
royal	2	0.999940	0.999915	
rot	2	0.999967	0.999952	
rolling	2	0.999934	0.999900	
ron	2	0.999952	0.999937	
rocket	2	0.999934	0.999905	
rolf	2	0.999961	0.999942	
robert	2	0.999934	0.999905	
rival	2	0.999940	0.999915	
rights	2	0.999934	0.999905	
rivals	2	0.999934	0.999905	
rio	2	0.999952	0.999937	
revue	2	0.999940	0.999915	
reviewed	2	0.999921	0.999883	
rhythms	2	0.999928	0.999894	
revealed	2	0.999921	0.999883	
returning	2	0.999915	0.999872	
results	2	0.999931	0.999897	
responder	2	0.999915	0.999872	
resign	2	0.999934	0.999905	
reservations	2	0.999904	0.999846	
request	2	0.999928	0.999894	
reputation	2	0.999909	0.999861	
republic	2	0.999931	0.999892	
republicans	2	0.999919	0.999866	
representative	2	0.999896	0.999828	
relevant	2	0.999921	0.999883	
relieved	2	0.999921	0.999883	
relationship	2	0.999908	0.999850	
reif	2	0.999946	0.999926	
rehearsal	2	0.999925	0.999881	
regulatory	2	0.999909	0.999861	
regularly	2	0.999915	0.999872	
regard	2	0.999934	0.999905	
regions	2	0.999928	0.999894	
reform	2	0.999934	0.999905	
reductions	2	0.999920	0.999872	
reduced	2	0.999928	0.999894	
recorded	2	0.999932	0.999893	
reds	2	0.999946	0.999926	
reconnaissance	2	0.999885	0.999818	
recognition	2	0.999903	0.999851	
reception	2	0.999915	0.999872	
receiving	2	0.999915	0.999872	
reads	2	0.999940	0.999915	
reasonably	2	0.999909	0.999861	
reading	2	0.999940	0.999906	
reactions	2	0.999917	0.999873	
reacted	2	0.999928	0.999894	
react	2	0.999940	0.999915	
rapper	2	0.999934	0.999905	
ranking	2	0.999928	0.999894	
rally	2	0.999940	0.999915	
ranged	2	0.999935	0.999906	
raised	2	0.999951	0.999922	
raheem	2	0.999939	0.999910	
radio	2	0.999950	0.999926	
racist	2	0.999943	0.999914	
quartet	2	0.999928	0.999895	
quality	2	0.999938	0.999904	
racism	2	0.999934	0.999905	
quabeck	2	0.999928	0.999894	
push	2	0.999946	0.999926	
purchased	2	0.999915	0.999872	
pungsan	2	0.999937	0.999903	
purchase	2	0.999927	0.999888	
published	2	0.999915	0.999872	
pull	2	0.999946	0.999926	
provoked	2	0.999924	0.999885	
psg	2	0.999952	0.999937	
provoke	2	0.999928	0.999894	
proving	2	0.999928	0.999894	
proved	2	0.999934	0.999905	
protesting	2	0.999909	0.999861	
protect	2	0.999933	0.999899	
prosecutor	2	0.999909	0.999861	
proportion	2	0.999909	0.999861	
promoted	2	0.999930	0.999891	
promising	2	0.999921	0.999877	
promised	2	0.999921	0.999883	
project	2	0.999928	0.999894	
products	2	0.999921	0.999883	
prix	2	0.999946	0.999926	
private	2	0.999933	0.999899	
principle	2	0.999922	0.999878	
primus	2	0.999949	0.999920	
priority	2	0.999937	0.999898	
princess	2	0.999921	0.999883	
pretty	2	0.999939	0.999910	
prime	2	0.999940	0.999915	
pressing	2	0.999921	0.999883	
presentation	2	0.999897	0.999840	
present	2	0.999939	0.999905	
presidency	2	0.999930	0.999882	
prepare	2	0.999933	0.999899	
preparation	2	0.999903	0.999851	
premium	2	0.999928	0.999894	
premises	2	0.999932	0.999893	
praxair	2	0.999943	0.999909	
preliminary	2	0.999903	0.999851	
praised	2	0.999928	0.999894	
prague	2	0.999944	0.999915	
postponed	2	0.999921	0.999877	
poster	2	0.999952	0.999923	
portal	2	0.999934	0.999905	
pompeo	2	0.999934	0.999905	
populist	2	0.999921	0.999883	
politically	2	0.999903	0.999851	
politicians	2	0.999903	0.999851	
poliomyelitis	2	0.999891	0.999829	
poliovirus	2	0.999920	0.999872	
polar	2	0.999941	0.999917	
policemen	2	0.999915	0.999872	
policeman	2	0.999915	0.999872	
poetry	2	0.999954	0.999925	
pm	2	0.999968	0.999958	
plenty	2	0.999934	0.999905	
plot	2	0.999956	0.999936	
please	2	0.999934	0.999905	
planning	2	0.999947	0.999908	
plays	2	0.999940	0.999915	
plain	2	0.999964	0.999940	
pilz	2	0.999961	0.999942	
pilots	2	0.999934	0.999905	
pile	2	0.999946	0.999926	
piece	2	0.999950	0.999926	
piano	2	0.999953	0.999929	
petra	2	0.999940	0.999915	
picture	2	0.999928	0.999894	
persons	2	0.999928	0.999894	
personnel	2	0.999915	0.999872	
perfectly	2	0.999915	0.999872	
percentage	2	0.999910	0.999862	
pensioner	2	0.999919	0.999875	
pedestrian	2	0.999920	0.999872	
peak	2	0.999946	0.999926	
patrick	2	0.999928	0.999894	
patrol	2	0.999934	0.999905	
passers	2	0.999944	0.999910	
passengers	2	0.999909	0.999861	
passenger	2	0.999931	0.999887	
parting	2	0.999938	0.999904	
partial	2	0.999928	0.999895	
parliament	2	0.999909	0.999861	
paralysis	2	0.999921	0.999877	
paid	2	0.999946	0.999926	
p.	2	0.999958	0.999948	
page	2	0.999951	0.999931	
paper	2	0.999940	0.999915	
owned	2	0.999940	0.999915	
overshadowed	2	0.999897	0.999840	
outcome	2	0.999944	0.999910	
outfit	2	0.999934	0.999905	
Östersund	2	0.999926	0.999882	
originally	2	0.999925	0.999877	
organiser	2	0.999915	0.999872	
organizations	2	0.999891	0.999829	
organisers	2	0.999925	0.999877	
organic	2	0.999928	0.999894	
optical	2	0.999928	0.999894	
options	2	0.999938	0.999904	
operations	2	0.999920	0.999872	
operation	2	0.999915	0.999872	
opens	2	0.999940	0.999915	
openly	2	0.999934	0.999905	
olympics	2	0.999932	0.999893	
